census_code,predictions_2001,predictions_2003,predictions_2005,predictions_2007,predictions_2009,predictions_2011
218,1,1,1,1,1,1
328,2,2,2,2,2,2
162,2,1,1,1,1,1
94,3,3,3,3,3,3
566,1,1,1,1,1,1
527,2,1,2,2,2,2
169,1,2,1,1,1,1
287,3,2,2,2,2,2
615,3,1,3,3,1,1
406,1,1,1,1,1,1
73,2,1,1,1,3,2
637,1,3,3,3,3,3
480,1,1,2,2,1,2
141,1,1,3,3,3,3
621,1,1,1,1,1,1
241,3,1,3,3,3,3
276,3,3,2,2,3,2
273,2,2,2,2,2,2
420,1,1,1,1,1,1
223,2,2,1,1,3,1
368,1,2,1,1,1,1
524,2,1,1,1,1,1
395,1,1,1,1,1,1
502,1,1,1,1,1,1
594,3,3,3,3,3,3
392,1,1,1,1,1,1
599,3,3,3,3,1,3
170,1,1,1,1,1,1
7,2,3,2,3,3,1
550,1,1,1,1,1,1
150,3,1,3,1,1,2
16,2,1,2,2,2,1
610,2,2,1,1,1,2
521,3,1,3,3,3,3
508,1,1,1,1,1,1
75,2,3,1,3,3,3
68,1,2,2,2,3,2
442,1,1,1,1,2,1
152,3,1,1,1,1,1
224,2,1,1,1,1,1
249,1,2,3,2,3,1
112,1,1,1,1,1,1
312,2,2,2,1,1,2
20,1,3,1,3,2,1
199,1,1,1,1,1,1
309,3,3,3,3,3,2
405,1,1,1,1,1,1
33,2,3,3,3,3,3
467,1,1,1,2,1,1
479,1,1,1,2,2,2
266,2,2,2,2,2,2
613,1,1,1,1,1,1
267,2,3,2,3,2,2
144,2,1,1,1,1,1
288,3,2,2,3,2,2
123,1,1,1,1,1,1
325,1,2,2,2,1,2
107,1,2,1,1,1,1
104,3,1,1,1,1,1
301,2,1,2,2,2,2
136,2,1,1,1,2,2
468,3,3,3,3,3,3
87,3,1,2,1,1,1
557,1,1,1,1,1,1
557,1,1,1,1,1,1
388,1,3,1,1,1,1
363,3,1,1,2,2,1
43,1,1,2,2,2,2
37,2,3,2,2,3,3
134,2,2,1,1,1,2
86,1,1,1,3,1,3
228,1,1,1,1,3,1
291,2,3,2,3,3,2
398,3,1,2,2,1,1
283,3,2,2,3,3,3
530,2,3,1,3,3,3
554,1,1,1,1,1,1
344,1,2,1,2,2,2
412,1,1,1,1,1,1
543,1,3,1,3,1,1
342,3,3,3,3,3,3
44,2,2,2,2,2,2
320,2,2,2,2,2,1
34,2,2,2,1,2,3
142,2,2,2,2,2,2
459,1,1,1,1,1,1
488,3,2,3,3,3,3
310,3,2,2,2,3,2
428,1,1,1,1,1,1
114,1,1,1,1,1,1
378,1,1,1,1,1,1
154,1,1,1,1,1,1
272,2,2,2,2,2,2
148,1,1,1,1,1,1
410,1,1,1,1,1,1
284,3,2,3,2,2,3
341,2,3,3,3,2,2
384,1,1,1,2,1,1
198,3,1,1,1,1,1
48,2,1,2,1,3,3
338,1,2,2,2,1,2
132,1,1,1,1,1,2
544,2,2,2,1,2,2
526,1,1,1,1,1,1
593,3,3,3,3,3,3
355,1,1,1,1,1,1
264,3,1,2,2,3,2
572,1,1,3,1,3,3
449,1,3,3,3,1,2
317,2,3,2,2,2,2
31,2,2,2,2,3,3
232,1,1,1,1,1,1
207,1,1,1,2,1,1
290,2,2,2,2,2,2
374,1,1,1,1,1,1
545,2,2,2,2,2,2
608,1,1,1,1,1,1
179,2,1,2,2,2,1
376,1,1,1,2,1,1
336,2,3,2,2,2,2
636,3,3,3,3,3,3
424,1,1,1,1,1,1
385,1,3,1,2,2,1
377,1,1,1,1,1,1
483,1,1,2,2,2,1
561,1,1,1,1,1,1
411,1,1,1,1,1,1
391,1,1,1,1,1,1
250,1,2,3,3,3,3
353,1,1,1,1,1,1
303,2,1,1,2,1,2
192,1,2,1,1,1,1
88,1,1,1,1,1,3
327,2,1,2,2,3,2
318,2,3,3,3,3,2
234,2,1,1,1,1,1
466,1,1,1,1,1,1
366,1,1,1,1,1,1
340,1,1,1,1,1,1
205,3,3,3,3,3,1
386,1,2,1,1,2,2
268,3,2,2,3,2,2
308,2,2,2,2,2,2
230,2,2,1,1,3,2
1,2,3,2,2,2,2
155,1,1,1,1,1,1
447,3,1,1,1,1,1
143,2,3,1,1,1,1
161,2,1,1,1,1,1
592,3,3,3,3,3,3
577,1,1,1,1,1,2
436,1,1,1,1,2,1
549,3,1,1,1,1,1
40,3,1,3,3,3,3
167,1,1,1,1,1,1
243,3,3,3,3,3,3
32,1,3,3,3,3,3
226,1,2,1,1,2,1
489,1,1,1,1,1,1
380,2,1,1,3,1,1
417,2,1,1,1,1,1
126,1,1,1,1,1,1
95,3,3,3,3,3,3
330,2,1,2,1,1,1
77,2,2,1,1,1,2
333,2,1,2,2,1,1
151,2,2,1,2,2,2
18,2,1,1,1,2,1
382,1,1,1,1,1,1
595,3,3,3,3,3,3
193,1,1,1,1,1,1
520,3,1,2,2,2,2
174,2,2,1,1,1,1
323,1,2,2,2,1,2
173,2,1,2,1,2,1
