Villages of each kind in district,,,,,,,
District_Code,1. Under-Developed,%,2. Moderately-Developed,%,3. Developed,%,Grand Total
114,736,0.918851436,23,0.028714107,42,0.052434457,801
115,2421,0.955783656,26,0.010264508,86,0.033951836,2533
116,794,0.906392694,6,0.006849315,76,0.086757991,876
117,441,0.73255814,11,0.018272425,150,0.249169435,602
118,1039,0.837903226,2,0.001612903,199,0.160483871,1240
119,1098,0.80794702,5,0.003679176,256,0.188373804,1359
120,934,0.73254902,227,0.178039216,114,0.089411765,1275
121,729,0.716814159,182,0.178957719,106,0.104228122,1017
122,1799,0.915055951,22,0.011190234,145,0.073753815,1966
123,1037,0.904886562,6,0.005235602,103,0.089877836,1146
124,958,0.927395934,14,0.013552759,61,0.059051307,1033
125,1311,0.846899225,170,0.109819121,67,0.043281654,1548
126,1558,0.893348624,23,0.013188073,163,0.093463303,1744
127,537,0.570063694,276,0.292993631,129,0.136942675,942
128,753,0.616202946,389,0.318330606,80,0.065466448,1222
129,1351,0.837050805,145,0.08983891,118,0.073110285,1614
130,2433,0.924392097,13,0.00493921,186,0.070668693,2632
131,930,0.915354331,26,0.025590551,60,0.059055118,1016
132,790,0.516677567,498,0.325703074,241,0.157619359,1529
133,151,0.11796875,905,0.70703125,224,0.175,1280
134,1615,0.616647575,580,0.221458572,424,0.161893853,2619
135,510,0.273752013,1120,0.601180891,233,0.125067096,1863
136,716,0.548659004,414,0.317241379,175,0.134099617,1305
137,319,0.280316344,655,0.575571178,164,0.144112478,1138
138,75,0.084364454,615,0.691788526,199,0.223847019,889
139,12,0.028037383,332,0.775700935,84,0.196261682,428
140,34,0.039035591,491,0.563719862,346,0.397244546,871
141,36,0.088888889,268,0.661728395,101,0.249382716,405
142,273,0.177734375,992,0.645833333,271,0.176432292,1536
143,379,0.264480112,856,0.597348221,198,0.138171668,1433
144,366,0.454094293,321,0.398263027,119,0.14764268,806
145,474,0.460641399,319,0.310009718,236,0.229348882,1029
146,518,0.417405318,433,0.348912168,290,0.233682514,1241
147,445,0.465481172,358,0.374476987,153,0.160041841,956
148,439,0.456340956,422,0.438669439,101,0.104989605,962
149,488,0.225716929,1520,0.703052729,154,0.071230342,2162
150,721,0.317201936,1237,0.544214694,315,0.13858337,2273
151,841,0.578404402,427,0.293672627,186,0.127922971,1454
152,744,0.321104877,1311,0.565817868,262,0.113077255,2317
153,1255,0.657068063,503,0.263350785,152,0.079581152,1910
154,1958,0.766640564,446,0.174628034,150,0.058731402,2554
155,1063,0.489410681,987,0.45441989,122,0.056169429,2172
156,1488,0.759183673,354,0.180612245,118,0.060204082,1960
157,738,0.713043478,99,0.095652174,198,0.191304348,1035
158,1621,0.864072495,145,0.077292111,110,0.058635394,1876
159,396,0.392857143,506,0.501984127,106,0.10515873,1008
160,407,0.488009592,335,0.401678657,92,0.110311751,834
161,563,0.693349754,145,0.178571429,104,0.128078818,812
162,547,0.615298088,260,0.292463442,82,0.09223847,889
163,522,0.474114441,500,0.454132607,79,0.071752952,1101
164,493,0.444144144,425,0.382882883,192,0.172972973,1110
165,327,0.291184328,698,0.621549421,98,0.087266251,1123
166,421,0.400190114,443,0.421102662,188,0.178707224,1052
167,649,0.853947368,70,0.092105263,41,0.053947368,760
168,261,0.414944356,292,0.464228935,76,0.120826709,629
169,276,0.519774011,226,0.425612053,29,0.054613936,531
170,522,0.666666667,201,0.256704981,60,0.076628352,783
171,535,0.860128617,57,0.091639871,30,0.048231511,622
172,1000,0.675219446,403,0.272113437,78,0.052667117,1481
173,1831,0.799912626,368,0.160768895,90,0.03931848,2289
174,557,0.678440926,217,0.264311815,47,0.057247259,821
175,1006,0.327260898,1799,0.585230969,269,0.087508133,3074
176,1573,0.786106947,326,0.162918541,102,0.050974513,2001
177,927,0.678127286,326,0.23847842,114,0.083394294,1367
178,1077,0.601340034,666,0.371859296,48,0.02680067,1791
179,1936,0.747201853,564,0.217676573,91,0.035121575,2591
180,1106,0.766458766,284,0.196812197,53,0.036729037,1443
181,436,0.811918063,88,0.163873371,13,0.024208566,537
182,836,0.768382353,201,0.184742647,51,0.046875,1088
183,1557,0.805067218,273,0.141158221,104,0.05377456,1934
184,1375,0.560081466,992,0.40407332,88,0.035845214,2455
185,2141,0.665320075,958,0.297700435,119,0.03697949,3218
186,1014,0.616788321,577,0.350973236,53,0.032238443,1644
187,946,0.718299165,305,0.23158694,66,0.050113895,1317
188,2211,0.70752,656,0.20992,258,0.08256,3125
189,858,0.505896226,761,0.44870283,77,0.045400943,1696
190,1477,0.675663312,579,0.264867338,130,0.05946935,2186
191,2032,0.508127032,1804,0.451112778,163,0.04076019,3999
192,854,0.517575758,701,0.424848485,95,0.057575758,1650
193,983,0.487841191,888,0.440694789,144,0.07146402,2015
194,1466,0.423944477,1839,0.531810295,153,0.044245228,3458
195,610,0.210055096,2183,0.751721763,111,0.03822314,2904
196,271,0.177240026,1162,0.759973839,96,0.062786135,1529
197,341,0.232288828,889,0.605585831,238,0.162125341,1468
198,413,0.33908046,687,0.564039409,118,0.096880131,1218
199,744,0.399570354,1031,0.553705693,87,0.046723953,1862
200,842,0.543576501,577,0.372498386,130,0.083925113,1549
201,440,0.431795878,468,0.459273798,111,0.108930324,1019
202,350,0.426309379,379,0.461632156,92,0.112058465,821
203,731,0.480921053,715,0.470394737,74,0.048684211,1520
204,673,0.465421853,688,0.475795297,85,0.058782849,1446
205,42,0.202898551,160,0.77294686,5,0.024154589,207
206,254,0.28285078,589,0.655902004,55,0.061247216,898
207,429,0.382352941,644,0.573975045,49,0.043672014,1122
208,94,0.161790017,461,0.793459552,26,0.04475043,581
209,64,0.080503145,694,0.872955975,37,0.046540881,795
210,65,0.08135169,699,0.874843554,35,0.043804756,799
211,70,0.058381985,1081,0.901584654,48,0.040033361,1199
212,120,0.086455331,1230,0.886167147,38,0.027377522,1388
213,91,0.208237986,320,0.732265446,26,0.059496568,437
214,84,0.1724846,375,0.770020534,28,0.057494867,487
215,362,0.309401709,738,0.630769231,70,0.05982906,1170
216,755,0.414379802,979,0.537321625,88,0.048298573,1822
217,664,0.446236559,764,0.51344086,60,0.040322581,1488
218,808,0.53298153,645,0.425461741,63,0.041556728,1516
219,872,0.513545347,749,0.441107185,77,0.045347468,1698
220,739,0.487467018,715,0.471635884,62,0.040897098,1516
221,333,0.277268943,799,0.665278934,69,0.057452123,1201
222,245,0.300613497,531,0.651533742,39,0.047852761,815
223,44,0.149152542,221,0.749152542,30,0.101694915,295
224,230,0.208711434,789,0.715970962,83,0.075317604,1102
225,720,0.412844037,994,0.569954128,30,0.017201835,1744
226,289,0.446676971,255,0.394126739,103,0.159196291,647
227,95,0.226190476,299,0.711904762,26,0.061904762,420
228,7,0.022364217,289,0.923322684,17,0.054313099,313
229,55,0.04845815,1011,0.890748899,69,0.060792952,1135
230,147,0.087240356,1224,0.726409496,314,0.186350148,1685
231,170,0.150842946,879,0.779946761,78,0.069210293,1127
232,131,0.144591611,713,0.786975717,62,0.068432671,906
233,296,0.215900802,1042,0.760029176,33,0.024070022,1371
234,256,0.13559322,1528,0.809322034,104,0.055084746,1888
235,314,0.170189702,1469,0.796205962,62,0.033604336,1845
236,995,0.354976811,1727,0.61612558,81,0.02889761,2803
237,293,0.27851711,712,0.676806084,47,0.044676806,1052
238,852,0.611190818,515,0.369440459,27,0.019368723,1394
239,51,0.08557047,512,0.859060403,33,0.055369128,596
240,14,0.043076923,308,0.947692308,3,0.009230769,325
241,45,0.775862069,1,0.017241379,12,0.206896552,58
242,105,0.8203125,,0,23,0.1796875,128
243,114,0.74025974,,0,40,0.25974026,154
244,85,0.578231293,1,0.006802721,61,0.414965986,147
245,153,0.705069124,,0,64,0.294930876,217
246,219,0.83269962,,0,44,0.16730038,263
247,345,0.963687151,1,0.002793296,12,0.033519553,358
248,349,0.758695652,3,0.006521739,108,0.234782609,460
249,522,0.968460111,1,0.001855288,16,0.029684601,539
250,421,0.941834452,1,0.002237136,25,0.055928412,447
251,144,0.935064935,,0,10,0.064935065,154
252,93,0.920792079,2,0.01980198,6,0.059405941,101
253,326,0.931428571,1,0.002857143,23,0.065714286,350
254,185,0.948717949,,0,10,0.051282051,195
255,486,0.901669759,6,0.011131725,47,0.087198516,539
256,690,0.980113636,6,0.008522727,8,0.011363636,704
257,126,0.933333333,,0,9,0.066666667,135
258,245,0.917602996,,0,22,0.082397004,267
259,267,0.933566434,3,0.01048951,16,0.055944056,286
260,272,0.971428571,,0,8,0.028571429,280
261,151,0.986928105,1,0.006535948,1,0.006535948,153
262,123,0.82,,0,27,0.18,150
263,204,0.985507246,,0,3,0.014492754,207
264,158,0.946107784,,0,9,0.053892216,167
265,168,0.615384615,1,0.003663004,104,0.380952381,273
266,137,0.971631206,,0,4,0.028368794,141
267,154,0.993548387,,0,1,0.006451613,155
268,61,1,,0,,0,61
269,104,1,,0,,0,104
270,112,0.817518248,,0,25,0.182481752,137
271,120,0.975609756,1,0.008130081,2,0.016260163,123
272,648,0.968609865,2,0.002989537,19,0.028400598,669
273,175,1,,0,,0,175
274,526,0.89001692,8,0.013536379,57,0.096446701,591
275,86,0.651515152,1,0.007575758,45,0.340909091,132
276,154,0.78974359,1,0.005128205,40,0.205128205,195
277,130,0.580357143,,0,94,0.419642857,224
278,185,0.703422053,,0,78,0.296577947,263
279,215,1,,0,,0,215
280,395,0.912240185,29,0.066974596,9,0.020785219,433
281,84,0.831683168,1,0.00990099,16,0.158415842,101
282,30,0.566037736,,0,23,0.433962264,53
283,69,0.37704918,,0,114,0.62295082,183
284,87,0.798165138,,0,22,0.201834862,109
285,30,0.652173913,,0,16,0.347826087,46
286,153,0.80104712,,0,38,0.19895288,191
287,152,0.888888889,,0,19,0.111111111,171
288,50,0.714285714,,0,20,0.285714286,70
289,340,0.805687204,,0,82,0.194312796,422
290,304,0.853932584,1,0.002808989,51,0.143258427,356
291,168,0.965517241,,0,6,0.034482759,174
292,178,0.801801802,,0,44,0.198198198,222
293,1563,0.982401006,8,0.005028284,20,0.01257071,1591
294,1074,0.991689751,2,0.001846722,7,0.006463527,1083
295,740,0.990629183,2,0.002677376,5,0.00669344,747
296,1106,0.992818671,8,0.007181329,,0,1114
297,564,0.967409949,,0,19,0.032590051,583
298,910,0.929519918,4,0.004085802,65,0.06639428,979
299,479,0.937377691,4,0.007827789,28,0.054794521,511
300,1025,0.956156716,12,0.01119403,35,0.032649254,1072
301,747,0.673579802,317,0.285843102,45,0.040577096,1109
302,661,0.803159174,116,0.140947752,46,0.055893074,823
303,434,0.49039548,302,0.341242938,149,0.168361582,885
304,536,0.87012987,58,0.094155844,22,0.035714286,616
305,1220,0.81824279,45,0.030181087,226,0.151576123,1491
306,1675,0.897161221,9,0.004820568,183,0.098018211,1867
307,1093,0.922362869,1,0.000843882,91,0.076793249,1185
308,1217,0.954509804,7,0.005490196,51,0.04,1275
309,1047,0.866004963,8,0.006617039,154,0.127377998,1209
310,1220,0.889212828,4,0.002915452,148,0.10787172,1372
311,730,0.787486516,1,0.001078749,196,0.211434736,927
312,669,0.801197605,1,0.001197605,165,0.19760479,835
313,970,0.905695612,5,0.004668534,96,0.089635854,1071
314,2682,0.968930636,23,0.008309249,63,0.022760116,2768
315,666,0.940677966,3,0.004237288,39,0.055084746,708
316,980,0.912476723,14,0.013035382,80,0.074487896,1074
317,898,0.93736952,2,0.002087683,58,0.060542797,958
318,328,0.911111111,,0,32,0.088888889,360
319,453,0.789198606,64,0.111498258,57,0.099303136,574
320,493,0.962890625,5,0.009765625,14,0.02734375,512
321,823,0.756433824,83,0.076286765,182,0.167279412,1088
322,169,0.570945946,2,0.006756757,125,0.422297297,296
323,375,0.763747454,15,0.030549898,101,0.205702648,491
324,665,0.972222222,6,0.00877193,13,0.019005848,684
325,486,0.848167539,58,0.10122164,29,0.05061082,573
326,760,0.944099379,21,0.026086957,24,0.029813665,805
327,512,0.648922687,48,0.060836502,229,0.290240811,789
328,631,0.715419501,145,0.164399093,106,0.120181406,882
329,853,0.688458434,304,0.245359161,82,0.066182405,1239
330,161,0.103139013,1341,0.859064702,59,0.037796284,1561
331,220,0.134556575,1376,0.841590214,39,0.023853211,1635
332,266,0.155102041,1402,0.817492711,47,0.027405248,1715
333,144,0.067070331,1919,0.89380531,84,0.03912436,2147
334,457,0.191614256,1850,0.775681342,78,0.032704403,2385
335,564,0.194616977,2161,0.74568668,173,0.059696342,2898
336,454,0.295765472,911,0.593485342,170,0.110749186,1535
337,1103,0.45824678,652,0.27087661,652,0.27087661,2407
338,807,0.35456942,1132,0.497363796,337,0.148066784,2276
339,2536,0.691950887,1060,0.289222374,69,0.018826739,3665
340,1936,0.75625,591,0.230859375,33,0.012890625,2560
341,397,0.385063046,471,0.456838021,163,0.158098933,1031
342,,0,12,0.084507042,130,0.915492958,142
343,896,0.376154492,1299,0.54534005,187,0.078505458,2382
344,4196,0.559317515,3170,0.422553986,136,0.018128499,7502
345,398,0.128844286,2629,0.851084493,62,0.02007122,3089
346,743,0.849142857,116,0.132571429,16,0.018285714,875
347,1223,0.874821173,164,0.117310443,11,0.007868383,1398
348,498,0.815057283,92,0.150572831,21,0.034369885,611
349,1611,0.617241379,975,0.373563218,24,0.009195402,2610
350,1243,0.515339967,1105,0.458126036,64,0.026533997,2412
351,769,0.448920023,929,0.542323409,15,0.008756567,1713
352,1114,0.793447293,260,0.185185185,30,0.021367521,1404
353,666,0.571183533,490,0.420240137,10,0.008576329,1166
354,568,0.459175424,636,0.51414713,33,0.026677445,1237
355,403,0.558945908,287,0.398058252,31,0.042995839,721
356,329,0.877333333,27,0.072,19,0.050666667,375
357,1528,0.783991791,109,0.055926116,312,0.160082093,1949
358,1405,0.796485261,321,0.181972789,38,0.02154195,1764
359,704,0.919060052,62,0.080939948,,0,766
360,911,0.722442506,309,0.245043616,41,0.032513878,1261
361,120,0.335195531,223,0.622905028,15,0.041899441,358
362,2392,0.882656827,277,0.102214022,41,0.015129151,2710
363,656,0.588340807,445,0.399103139,14,0.012556054,1115
364,1162,0.835370237,133,0.095614666,96,0.069015097,1391
365,752,0.974093264,9,0.011658031,11,0.014248705,772
366,927,0.958634953,20,0.020682523,20,0.020682523,967
367,462,0.987179487,,0,6,0.012820513,468
368,1658,0.968457944,4,0.002336449,50,0.029205607,1712
369,1027,0.856547123,131,0.109257715,41,0.034195163,1199
370,1149,0.931873479,63,0.051094891,21,0.01703163,1233
371,322,0.770334928,68,0.162679426,28,0.066985646,418
372,1243,0.935289691,17,0.012791573,69,0.051918736,1329
373,724,0.990424077,2,0.002735978,5,0.006839945,731
374,1707,0.923201731,47,0.025419145,95,0.051379124,1849
375,1746,0.813986014,326,0.151981352,73,0.034032634,2145
376,3284,0.856770154,468,0.122097574,81,0.021132272,3833
377,1089,0.391867578,1610,0.579345088,80,0.028787334,2779
378,94,0.071374336,1201,0.911921033,22,0.016704632,1317
379,213,0.145790554,1220,0.83504449,28,0.019164956,1461
