Count of Villages in Different Districts,,,,,,,
District_Code,1. Under-Developed,%,2. Moderately-Developed,%,3. Developed,%,Grand Total
161,634,78%,26,3%,152,19%,812
162,714,80%,36,4%,139,16%,889
163,888,81%,23,2%,190,17%,1101
164,827,75%,28,3%,255,23%,1110
165,830,74%,53,5%,240,21%,1123
166,778,74%,39,4%,235,22%,1052
167,691,91%,18,2%,51,7%,760
168,482,77%,34,5%,113,18%,629
169,457,86%,13,2%,61,11%,531
170,634,81%,41,5%,108,14%,783
171,560,90%,11,2%,51,8%,622
172,1307,88%,27,2%,147,10%,1481
173,2173,95%,25,1%,91,4%,2289
174,742,90%,9,1%,70,9%,821
175,2723,89%,47,2%,304,10%,3074
176,1799,90%,39,2%,163,8%,2001
177,1211,89%,9,1%,147,11%,1367
178,1621,91%,49,3%,121,7%,1791
179,2411,93%,43,2%,137,5%,2591
180,1318,91%,19,1%,106,7%,1443
181,495,92%,7,1%,35,7%,537
182,986,91%,12,1%,90,8%,1088
183,1800,93%,9,0%,125,6%,1934
184,2322,95%,17,1%,116,5%,2455
185,3025,94%,39,1%,154,5%,3218
186,1560,95%,13,1%,71,4%,1644
187,1175,89%,22,2%,120,9%,1317
188,2767,89%,43,1%,315,10%,3125
189,1526,90%,21,1%,149,9%,1696
190,2016,92%,8,0%,162,7%,2186
191,3567,89%,80,2%,352,9%,3999
192,1441,87%,25,2%,184,11%,1650
193,1764,88%,10,0%,241,12%,2015
194,3140,91%,56,2%,262,8%,3458
195,2636,91%,16,1%,252,9%,2904
196,1334,87%,20,1%,175,11%,1529
197,1108,75%,52,4%,308,21%,1468
198,1069,88%,14,1%,135,11%,1218
199,1573,84%,77,4%,212,11%,1862
200,1315,85%,54,3%,180,12%,1549
201,873,86%,5,0%,141,14%,1019
202,660,80%,4,0%,157,19%,821
203,1412,93%,4,0%,104,7%,1520
204,1317,91%,3,0%,126,9%,1446
205,191,92%,2,1%,14,7%,207
206,818,91%,1,0%,79,9%,898
207,1045,93%,4,0%,73,7%,1122
208,540,93%,1,0%,40,7%,581
209,743,93%,3,0%,49,6%,795
210,758,95%,2,0%,39,5%,799
211,1139,95%,4,0%,56,5%,1199
212,1299,94%,24,2%,65,5%,1388
213,407,93%,1,0%,29,7%,437
214,449,92%,2,0%,36,7%,487
215,1037,89%,7,1%,126,11%,1170
216,1625,89%,6,0%,191,10%,1822
217,1366,92%,5,0%,117,8%,1488
218,1379,91%,6,0%,131,9%,1516
219,1566,92%,3,0%,129,8%,1698
220,1292,85%,6,0%,218,14%,1516
221,1093,91%,5,0%,103,9%,1201
222,657,81%,12,1%,146,18%,815
223,240,81%,4,1%,51,17%,295
224,878,80%,38,3%,186,17%,1102
225,1685,97%,6,0%,53,3%,1744
226,462,71%,15,2%,170,26%,647
227,330,79%,4,1%,86,20%,420
228,262,84%,6,2%,45,14%,313
229,974,86%,11,1%,150,13%,1135
230,1167,69%,18,1%,500,30%,1685
231,995,88%,1,0%,131,12%,1127
232,819,90%,3,0%,84,9%,906
233,1306,95%,3,0%,62,5%,1371
234,1667,88%,2,0%,219,12%,1888
235,1682,91%,6,0%,157,9%,1845
236,2557,91%,42,1%,204,7%,2803
237,957,91%,6,1%,89,8%,1052
238,1332,96%,13,1%,49,4%,1394
239,516,87%,3,1%,77,13%,596
240,299,92%,1,0%,25,8%,325
241,7,12%,2,3%,49,84%,58
242,2,2%,7,5%,119,93%,128
243,1,1%,48,31%,105,68%,154
244,4,3%,12,8%,131,89%,147
245,73,34%,51,24%,93,43%,217
246,200,76%,16,6%,47,18%,263
247,309,86%,12,3%,37,10%,358
248,280,61%,42,9%,138,30%,460
249,401,74%,34,6%,104,19%,539
250,171,38%,78,17%,198,44%,447
251,82,53%,22,14%,50,32%,154
252,62,61%,5,5%,34,34%,101
253,123,35%,153,44%,74,21%,350
254,25,13%,117,60%,53,27%,195
255,248,46%,110,20%,181,34%,539
256,570,81%,26,4%,108,15%,704
257,55,41%,32,24%,48,36%,135
258,151,57%,50,19%,66,25%,267
259,152,53%,91,32%,43,15%,286
260,233,83%,20,7%,27,10%,280
261,37,24%,89,58%,27,18%,153
262,3,2%,69,46%,78,52%,150
263,45,22%,109,53%,53,26%,207
264,55,33%,50,30%,62,37%,167
265,6,2%,123,45%,144,53%,273
266,15,11%,63,45%,63,45%,141
267,68,44%,44,28%,43,28%,155
268,14,23%,26,43%,21,34%,61
269,60,58%,18,17%,26,25%,104
270,45,33%,21,15%,71,52%,137
271,21,17%,58,47%,44,36%,123
272,88,13%,387,58%,194,29%,669
273,53,30%,75,43%,47,27%,175
274,131,22%,266,45%,194,33%,591
275,5,4%,60,45%,67,51%,132
276,3,2%,102,52%,90,46%,195
277,5,2%,90,40%,129,58%,224
278,23,9%,128,49%,112,43%,263
279,43,20%,106,49%,66,31%,215
280,96,22%,235,54%,102,24%,433
281,10,10%,63,62%,28,28%,101
282,2,4%,24,45%,27,51%,53
283,,0%,48,26%,135,74%,183
284,2,2%,55,50%,52,48%,109
285,1,2%,22,48%,23,50%,46
286,30,16%,109,57%,52,27%,191
287,70,41%,67,39%,34,20%,171
288,4,6%,46,66%,20,29%,70
289,24,6%,340,81%,58,14%,422
290,44,12%,256,72%,56,16%,356
291,56,32%,106,61%,12,7%,174
292,25,11%,157,71%,40,18%,222
293,634,40%,426,27%,531,33%,1591
294,203,19%,477,44%,403,37%,1083
295,261,35%,191,26%,295,39%,747
296,733,66%,273,25%,108,10%,1114
297,237,41%,260,45%,86,15%,583
298,628,64%,171,17%,180,18%,979
299,322,63%,114,22%,75,15%,511
300,901,84%,90,8%,81,8%,1072
301,681,61%,336,30%,92,8%,1109
302,250,30%,475,58%,98,12%,823
303,202,23%,524,59%,159,18%,885
304,310,50%,238,39%,68,11%,616
