District_name,District_code,State_code,State_name,BF_2001,BF_2003,BF_2005,BF_2007,BF_2009,BF_2011,BF_Actual_2001,Formal_EMP_2001,LIT_2001,BF_change,BF_change_old
Amritsar,49,3,PUNJAB,2,1,1,1,1,3,2,3,1,1,1
Rupnagar,51,3,PUNJAB,1,3,2,3,3,3,2,3,2,1,1
Sangrur,53,3,PUNJAB,2,2,1,1,2,2,2,3,1,0,0
Chandigarh,55,4,CHANDIGARH,3,3,3,3,3,3,3,3,3,0,0
Uttarkashi,56,5,UTTARAKHAND,2,2,2,2,2,2,1,2,1,0,0
Chamoli,57,5,UTTARAKHAND,2,2,3,2,3,2,1,2,2,1,1
Rudraprayag,58,5,UTTARAKHAND,3,2,2,2,3,2,1,2,2,1,1
Tehri Garhwal,59,5,UTTARAKHAND,1,1,2,2,3,2,1,2,1,1,1
Dehradun,60,5,UTTARAKHAND,3,2,2,2,3,3,2,3,3,1,1
Garhwal,61,5,UTTARAKHAND,1,2,2,2,3,2,1,2,2,1,1
Pithoragarh,62,5,UTTARAKHAND,2,2,2,3,2,2,1,2,2,1,1
Bageshwar,63,5,UTTARAKHAND,2,2,3,3,3,2,1,1,2,1,1
Almora,64,5,UTTARAKHAND,1,2,2,2,2,2,1,2,2,1,1
Champawat,65,5,UTTARAKHAND,3,2,2,2,2,2,1,2,2,0,0
Nainital,66,5,UTTARAKHAND,2,2,2,2,2,3,2,3,3,1,1
Udham Singh Nagar,67,5,UTTARAKHAND,2,1,1,1,2,2,2,2,1,1,1
Hardwar,68,5,UTTARAKHAND,1,1,1,2,3,2,2,3,1,1,1
Panchkula,69,6,HARYANA,3,3,3,3,3,3,2,3,2,1,1
Ambala,70,6,HARYANA,1,3,3,1,1,3,2,3,2,1,1
Yamunanagar,71,6,HARYANA,1,3,1,2,2,2,2,3,2,1,1
Kurukshetra,72,6,HARYANA,2,1,3,1,1,3,2,3,2,1,1
Kaithal,73,6,HARYANA,2,1,1,1,1,2,1,2,1,1,1
Karnal,74,6,HARYANA,1,1,1,1,1,3,2,3,1,1,1
Panipat,75,6,HARYANA,1,1,1,1,1,3,2,3,2,1,1
Sonipat,76,6,HARYANA,3,1,1,1,1,3,1,3,2,1,1
Jind,77,6,HARYANA,2,1,1,2,1,2,1,2,1,1,1
Fatehabad,78,6,HARYANA,2,1,1,1,1,3,2,2,1,0,0
Sirsa,79,6,HARYANA,2,2,1,1,2,2,2,2,1,0,0
Hisar,80,6,HARYANA,1,2,1,1,1,2,2,3,1,0,0
Bhiwani,81,6,HARYANA,1,1,1,1,1,2,1,2,1,1,1
Rohtak,82,6,HARYANA,3,3,1,1,1,3,2,3,2,1,1
Jhajjar,83,6,HARYANA,1,1,1,1,1,3,1,3,2,1,1
Mahendragarh,84,6,HARYANA,1,1,1,1,3,2,1,2,2,0,0
Rewari,85,6,HARYANA,3,1,1,1,1,2,1,2,2,1,1
Gurgaon,86,6,HARYANA,1,1,1,1,1,1,1,3,1,1,1
Faridabad,88,6,HARYANA,3,3,1,3,3,3,2,3,2,1,1
North West ,90,7,NCT OF DELHI,3,3,3,3,3,3,2,3,3,1,1
North,91,7,NCT OF DELHI,3,3,3,3,3,3,3,3,3,0,0
North East,92,7,NCT OF DELHI,3,3,3,3,3,3,2,3,2,1,1
East,93,7,NCT OF DELHI,3,3,3,3,3,3,3,3,3,0,0
New Delhi,94,7,NCT OF DELHI,3,3,3,3,3,3,3,3,3,0,0
Central,95,7,NCT OF DELHI,3,3,3,3,3,3,3,3,3,0,0
West,96,7,NCT OF DELHI,3,3,3,3,3,3,3,3,3,0,0
South West,97,7,NCT OF DELHI,3,1,3,3,3,3,3,3,3,0,0
South,98,7,NCT OF DELHI,3,3,3,3,3,3,3,3,3,0,0
Ganganagar,99,8,RAJASTHAN,2,2,2,2,2,2,2,2,1,0,0
Hanumangarh,100,8,RAJASTHAN,2,2,2,2,2,2,2,1,1,0,0
Bikaner,101,8,RAJASTHAN,3,1,2,1,3,2,1,2,1,0,0
Churu,102,8,RAJASTHAN,1,1,1,1,3,1,1,2,1,1,1
Jhunjhunun,103,8,RAJASTHAN,1,1,1,1,2,2,1,2,2,1,1
Alwar,104,8,RAJASTHAN,1,1,1,1,1,1,1,2,1,0,0
Bharatpur,105,8,RAJASTHAN,1,1,1,3,1,1,1,2,1,0,0
Dhaulpur,106,8,RAJASTHAN,1,1,1,3,1,1,1,2,1,0,0
Karauli,107,8,RAJASTHAN,1,1,1,3,1,1,1,2,1,0,0
Sawai Madhopur,108,8,RAJASTHAN,1,1,1,1,1,1,1,2,1,0,0
Dausa,109,8,RAJASTHAN,1,1,1,1,1,1,1,2,1,0,0
Jaipur,110,8,RAJASTHAN,1,1,1,1,1,3,2,3,2,1,1
Sikar,111,8,RAJASTHAN,1,1,1,1,2,2,1,2,2,0,0
Nagaur,112,8,RAJASTHAN,1,1,1,1,1,1,1,2,1,0,0
Jodhpur,113,8,RAJASTHAN,1,1,1,1,2,1,1,2,1,0,0
Jaisalmer,114,8,RAJASTHAN,1,3,1,1,3,1,1,3,1,0,0
Barmer,115,8,RAJASTHAN,1,1,1,1,3,1,1,1,1,0,0
Jalor,116,8,RAJASTHAN,1,1,1,1,1,1,1,1,1,0,0
Sirohi,117,8,RAJASTHAN,1,1,1,1,1,1,1,3,1,0,0
Pali,118,8,RAJASTHAN,1,1,1,1,1,1,1,2,1,0,0
Ajmer,119,8,RAJASTHAN,1,1,1,1,3,1,1,3,1,0,0
Tonk,120,8,RAJASTHAN,1,1,1,1,1,1,1,2,1,0,0
Bundi,121,8,RAJASTHAN,1,1,1,1,1,1,1,2,1,0,0
Bhilwara,122,8,RAJASTHAN,1,1,1,1,1,1,1,2,1,0,0
Rajsamand,123,8,RAJASTHAN,1,1,1,1,1,1,1,3,1,0,0
Dungarpur,124,8,RAJASTHAN,1,1,1,1,1,1,1,1,1,0,0
Banswara,125,8,RAJASTHAN,1,1,1,1,1,1,1,1,1,0,0
Chittaurgarh,126,8,RAJASTHAN,1,1,1,1,1,1,1,2,1,0,0
Kota,127,8,RAJASTHAN,1,1,1,1,1,2,1,3,2,1,1
Baran,128,8,RAJASTHAN,1,1,1,1,1,1,1,1,1,0,0
Jhalawar,129,8,RAJASTHAN,1,1,1,1,1,1,1,1,1,0,0
Udaipur,130,8,RAJASTHAN,1,1,1,1,1,1,1,2,1,0,0
Saharanpur,132,9,UTTAR PRADESH,1,1,1,2,1,2,2,2,1,1,1
Muzaffarnagar,133,9,UTTAR PRADESH,1,1,1,1,1,2,2,2,1,1,1
Bijnor,134,9,UTTAR PRADESH,2,1,1,2,1,2,2,2,1,1,1
Moradabad,135,9,UTTAR PRADESH,1,2,1,2,1,2,2,2,1,1,1
Rampur,136,9,UTTAR PRADESH,1,1,1,1,1,2,2,1,1,1,1
Jyotiba Phule Nagar,137,9,UTTAR PRADESH,2,2,2,2,1,2,2,1,1,0,-1
Meerut,138,9,UTTAR PRADESH,2,3,3,2,1,3,2,3,1,1,1
Baghpat,139,9,UTTAR PRADESH,3,2,1,1,3,3,2,2,1,1,1
Ghaziabad,140,9,UTTAR PRADESH,3,3,1,1,1,3,2,3,2,1,1
Gautam Buddha Nagar,141,9,UTTAR PRADESH,2,3,1,1,1,3,2,3,2,1,1
Bulandshahar ,142,9,UTTAR PRADESH,1,3,1,1,1,2,1,2,1,0,0
Aligarh,143,9,UTTAR PRADESH,2,1,2,1,1,1,1,2,1,0,0
