census_code,predictions_2001,predictions_2003,predictions_2005,predictions_2007,predictions_2009,predictions_2011
218,1,2,1,1,1,1
328,1,1,1,1,1,1
162,1,1,1,1,1,2
94,3,3,3,3,3,3
566,3,3,3,3,3,3
527,3,3,3,3,3,3
169,1,1,1,1,1,1
287,1,2,3,3,3,3
615,3,2,3,3,3,2
406,2,1,2,1,1,1
73,3,1,1,1,1,3
637,3,3,3,3,3,3
480,3,3,3,3,3,3
141,2,3,3,3,3,3
621,2,3,3,3,3,2
241,2,2,3,3,3,3
276,2,3,2,3,2,2
273,1,3,2,1,2,2
420,2,3,1,1,2,2
223,1,1,1,1,1,1
368,1,1,1,2,2,1
524,3,2,2,2,2,3
395,1,2,2,2,1,3
502,2,2,2,2,2,2
594,3,3,2,2,3,3
392,1,1,1,1,2,2
599,3,3,3,3,3,3
170,1,1,1,1,1,1
7,3,2,3,3,2,2
550,2,3,3,3,3,2
150,1,1,3,3,3,3
16,2,3,3,3,2,3
610,3,3,1,1,1,3
521,3,3,1,1,1,1
508,2,3,2,2,2,2
75,3,3,3,1,3,3
68,2,3,1,2,3,1
442,3,3,3,3,3,3
152,1,1,3,3,3,3
224,1,3,3,3,2,3
249,2,2,1,1,1,1
112,2,2,2,2,2,1
312,2,1,2,1,1,2
20,2,2,2,2,2,2
199,1,1,1,1,3,3
309,1,2,3,2,3,2
405,2,2,1,1,1,2
33,3,3,3,3,3,3
467,2,3,3,3,3,3
479,3,3,3,3,3,3
266,3,2,3,3,2,2
613,3,3,2,3,2,2
267,2,1,2,3,2,2
144,1,1,1,1,3,2
288,1,3,2,3,3,3
123,2,2,2,3,2,3
325,1,1,1,1,1,1
107,1,2,2,1,2,2
104,3,2,2,2,2,1
301,1,2,1,2,1,2
136,1,1,1,1,3,2
468,3,2,3,2,3,3
87,3,1,1,1,1,1
557,2,1,3,3,3,3
557,2,1,3,3,3,3
388,1,2,2,2,2,2
363,2,3,3,3,3,3
43,3,3,3,1,1,1
37,3,2,3,3,3,3
134,2,2,2,2,1,1
86,2,1,1,1,1,1
228,1,1,3,1,3,3
291,1,3,3,1,3,3
398,1,2,3,2,1,2
283,3,2,3,2,3,2
530,3,1,3,3,3,3
554,2,3,3,2,3,3
344,1,2,2,2,2,2
412,2,2,3,2,1,2
543,2,2,2,2,2,2
342,3,3,3,3,3,3
44,3,1,1,1,1,3
320,1,1,1,1,1,2
34,3,3,2,3,3,3
142,1,1,1,1,2,1
459,3,3,1,2,3,3
488,3,3,3,3,3,3
310,1,2,2,2,1,2
428,2,2,2,1,2,3
114,1,2,2,2,2,1
378,1,3,3,3,2,3
154,1,1,1,1,1,1
272,2,3,2,2,2,2
148,1,1,2,2,1,2
410,2,2,2,2,2,2
284,2,2,2,2,2,2
341,2,3,3,3,2,2
384,1,2,1,1,2,1
198,2,1,1,1,1,1
48,3,1,1,1,1,1
338,2,2,2,2,1,2
132,2,2,2,2,2,2
544,2,2,2,2,2,2
526,2,3,3,3,3,3
593,2,2,2,2,2,2
355,2,1,2,2,2,2
264,2,1,3,1,3,3
572,3,3,3,3,3,3
449,3,3,2,2,3,3
317,1,3,2,1,3,1
31,3,3,3,3,3,3
232,1,1,1,1,1,1
207,1,1,1,1,1,1
290,1,1,1,1,1,3
374,1,1,1,2,1,1
545,2,1,2,2,2,2
608,3,3,3,3,2,2
179,1,2,1,1,1,1
376,1,2,2,2,2,3
336,1,2,2,2,1,1
636,3,3,3,3,3,3
424,2,2,2,2,2,2
385,1,2,2,2,2,2
377,1,3,3,3,1,3
483,2,2,2,3,3,3
561,3,3,3,3,3,2
411,2,1,1,1,1,3
391,1,1,1,1,1,1
250,2,2,2,2,3,1
353,1,3,1,1,2,1
303,1,3,1,1,1,2
192,1,2,1,1,1,1
88,3,3,2,2,2,2
327,2,1,1,3,1,2
318,1,3,3,3,3,3
234,1,1,1,2,1,3
466,3,3,3,3,3,3
366,1,1,1,1,3,1
340,1,2,3,2,3,3
205,1,3,3,1,3,3
386,2,2,2,2,2,2
268,2,3,3,3,3,3
308,1,1,2,2,1,2
230,2,1,1,1,2,1
1,2,2,3,2,3,3
155,1,1,1,1,1,1
447,3,1,1,3,2,1
143,1,1,2,2,3,3
161,1,1,2,1,1,2
592,2,2,2,2,2,3
577,3,3,3,3,3,3
436,3,3,3,3,3,3
549,2,3,2,3,3,2
40,3,3,3,3,3,2
167,1,3,1,1,3,1
243,2,3,3,3,3,3
32,3,2,2,2,2,2
226,1,1,1,1,1,1
489,2,2,2,3,3,2
380,1,1,1,2,1,1
417,2,2,3,3,3,3
126,2,2,2,3,2,3
