census_code,CHH_2001,CHH_change,F_EMP_2001,ASSET_2001,EMP_2001
286,2,0,3,1,2
287,2,0,3,1,2
288,3,0,3,1,2
289,2,0,1,1,3
290,2,0,2,1,1
291,1,1,2,1,1
292,1,1,1,1,1
293,1,1,3,1,2
294,1,1,3,1,2
295,1,1,3,1,2
296,1,0,3,1,2
297,1,0,3,1,2
298,2,0,2,1,3
299,2,0,3,1,2
300,1,0,2,1,1
301,1,0,1,1,1
302,1,0,1,1,1
303,1,0,1,1,1
304,1,0,1,1,1
305,1,0,1,1,1
306,1,0,2,1,1
307,1,0,3,1,2
308,1,0,3,1,2
309,1,1,2,1,3
310,1,1,2,1,3
311,1,0,2,1,3
312,1,0,2,1,3
313,1,0,2,1,1
314,1,0,2,1,2
315,1,0,2,1,1
316,1,0,1,1,3
317,1,0,1,1,1
318,1,0,1,1,1
319,1,0,1,1,1
321,1,1,1,1,3
323,1,0,1,1,1
325,1,0,1,1,1
327,1,1,1,1,3
328,1,0,2,1,3
329,1,0,2,1,1
330,2,0,2,1,2
331,1,0,2,1,2
332,1,0,2,1,1
333,1,0,1,1,1
334,1,0,1,1,1
335,2,0,1,1,1
336,1,0,1,1,1
337,2,0,1,1,3
338,2,0,1,1,3
339,2,0,2,1,2
340,2,0,3,1,1
341,2,0,1,1,3
342,2,1,1,2,3
343,1,0,1,1,3
344,2,0,2,1,1
346,1,0,2,1,2
347,1,0,2,1,1
348,1,1,2,1,1
349,1,1,2,1,1
350,1,0,2,1,1
351,1,0,2,1,1
352,1,0,3,1,2
353,1,0,3,1,2
354,2,0,1,1,3
355,2,0,1,1,1
356,1,0,3,1,2
357,2,0,1,1,3
358,1,0,2,1,1
360,2,0,2,1,1
362,1,0,3,1,2
364,1,1,2,1,1
366,1,0,3,1,2
368,1,1,3,1,2
370,1,0,2,1,2
371,1,0,2,1,1
372,1,0,3,1,1
373,1,0,3,1,2
374,1,0,2,1,1
375,1,0,2,1,1
376,1,0,3,1,2
377,1,0,1,1,1
378,1,0,1,1,1
379,1,0,1,1,1
380,1,0,1,1,1
381,1,0,1,1,1
382,1,0,1,1,1
383,1,0,1,1,1
384,1,0,2,1,1
385,1,0,1,1,1
386,1,1,1,2,3
387,1,0,1,1,1
388,1,0,2,1,1
389,1,0,3,1,2
390,1,0,3,1,2
391,1,0,3,1,2
392,1,0,2,1,2
393,1,0,2,1,1
394,1,0,3,1,2
395,1,0,3,1,2
396,1,0,3,1,2
397,1,0,3,1,2
398,1,0,3,1,2
399,1,0,3,1,2
400,2,0,3,1,2
401,2,0,3,1,2
402,3,0,3,1,2
403,2,0,3,1,2
404,2,0,3,1,2
405,2,0,3,1,2
406,2,0,3,1,2
407,1,0,3,1,2
408,2,0,3,1,2
409,2,0,3,1,2
410,2,0,3,1,2
411,2,0,3,1,2
412,2,0,3,1,2
413,2,0,3,1,2
414,2,0,3,1,2
416,2,0,3,1,2
418,1,0,2,1,2
419,2,0,2,1,1
420,2,0,2,1,1
421,2,1,1,2,3
422,2,0,3,1,2
423,2,0,3,1,2
424,2,0,3,1,2
425,2,0,2,1,2
426,2,0,3,1,2
427,2,0,2,1,1
428,2,0,3,1,2
429,3,0,2,1,1
430,3,0,3,1,2
431,2,0,3,1,2
432,2,0,3,2,2
433,2,0,3,1,2
434,2,0,3,1,2
435,2,0,3,2,2
436,2,0,3,1,2
437,2,0,3,1,2
438,1,1,3,1,2
439,3,0,1,3,3
440,1,0,3,1,2
441,1,0,3,1,2
442,2,0,3,1,2
443,2,0,2,1,1
444,2,1,1,3,3
445,2,0,3,1,2
446,2,0,2,1,1
447,2,0,3,1,2
448,2,0,3,1,2
449,2,0,1,1,1
450,2,0,2,1,1
451,2,0,2,2,3
452,2,0,2,1,2
453,2,0,3,1,2
454,2,0,3,1,2
455,2,0,2,1,2
456,2,0,3,1,2
457,2,0,3,1,2
458,2,0,2,1,2
460,2,0,3,1,2
462,3,0,3,1,2
464,1,0,3,1,2
466,2,0,3,1,2
468,2,1,2,2,3
469,2,0,3,1,2
470,2,1,3,1,2
471,2,1,3,1,1
472,2,0,3,1,2
473,2,1,2,2,3
474,3,0,1,3,3
475,2,1,2,1,2
476,3,0,1,2,3
477,2,1,2,2,1
478,3,0,2,2,1
479,2,1,2,2,1
480,2,1,2,1,2
481,2,1,2,1,3
482,2,1,2,1,1
483,2,0,2,1,2
484,1,1,3,1,2
485,1,0,3,1,2
486,2,1,2,2,1
487,1,1,3,1,2
488,2,1,2,1,1
489,1,1,3,1,2
490,2,1,2,1,2
491,2,1,2,1,2
492,2,1,2,2,3
494,3,0,2,2,3
495,2,1,1,2,3
496,1,1,3,1,2
497,2,0,3,1,2
498,2,1,3,1,2
499,1,1,2,1,2
500,2,0,3,1,2
501,1,1,2,1,2
502,2,0,3,1,2
503,2,0,2,1,2
504,2,0,2,1,2
505,2,1,2,2,3
506,2,0,3,1,2
507,1,1,3,1,2
508,2,0,3,1,2
509,1,1,3,1,2
510,1,1,3,1,2
511,1,1,3,1,2
512,1,1,3,1,2
513,2,0,3,1,2
514,2,0,3,1,2
515,2,1,2,2,2
516,3,0,1,2,3
517,2,1,1,2,3
518,2,1,1,3,3
519,2,1,1,3,3
520,3,0,2,1,1
521,2,1,2,3,3
522,1,1,3,1,2
523,2,0,3,1,2
524,2,0,2,1,2
525,2,0,3,1,2
526,2,1,3,1,2
527,2,1,3,1,2
528,2,1,3,1,2
529,2,1,3,1,1
530,2,1,3,2,2
531,2,1,3,1,2
532,3,0,3,1,2
533,3,0,3,1,2
534,2,1,3,1,2
535,3,0,3,1,2
536,3,0,1,3,3
537,2,1,2,2,3
538,2,1,3,1,2
539,2,1,3,1,2
540,2,0,3,1,2
541,2,1,3,1,2
542,2,1,3,1,2
543,3,0,3,1,2
544,2,1,2,1,1
545,2,1,1,1,1
546,2,1,2,1,2
547,2,1,2,1,2
548,2,1,3,1,2
549,3,0,3,1,2
550,3,0,2,1,2
551,2,1,2,1,2
552,3,0,3,1,2
553,3,0,3,1,2
554,2,1,3,1,2
555,1,1,2,1,2
556,1,1,3,1,2
