census_code,predictions_2001,predictions_2003,predictions_2005,predictions_2007,predictions_2009,predictions_2011
218,2,2,1,1,1,2
328,1,1,1,1,1,1
162,2,1,1,1,1,1
94,3,3,3,3,3,3
566,2,2,2,2,2,2
527,3,3,3,3,3,3
169,2,2,1,1,1,2
287,3,3,3,2,3,2
615,3,2,3,3,3,3
406,2,2,2,2,2,1
73,2,2,2,2,2,2
637,1,3,3,3,3,3
480,2,2,3,3,3,3
141,1,2,3,3,3,3
621,2,3,3,3,2,2
241,1,1,3,3,3,2
276,3,3,3,3,3,3
273,1,1,2,3,3,1
420,2,3,2,1,1,2
223,2,1,1,1,1,1
368,2,1,1,1,1,2
524,2,2,2,2,2,2
395,1,1,1,2,1,1
502,3,2,2,2,2,2
594,3,3,3,3,3,3
392,1,1,1,1,1,1
599,3,3,3,3,3,3
170,2,2,2,2,1,2
7,1,3,2,3,3,3
550,3,3,3,3,3,3
150,3,1,1,1,1,1
16,1,1,1,3,2,1
610,2,3,3,2,2,3
521,3,3,3,3,3,3
508,2,3,2,2,2,2
75,2,2,1,1,2,2
68,3,3,1,1,3,2
442,2,2,2,2,3,1
152,3,1,2,1,1,1
224,2,3,1,1,3,1
249,3,3,3,3,3,1
112,1,2,1,2,1,2
312,1,1,2,1,1,1
20,2,3,3,3,3,2
199,2,2,2,2,2,2
309,1,3,1,3,2,2
405,2,1,1,1,1,1
33,2,3,3,3,3,3
467,2,2,2,2,2,2
479,2,3,3,3,3,3
266,2,2,2,3,2,2
613,3,2,2,2,1,3
267,2,3,2,3,1,1
144,2,1,1,2,2,1
288,3,2,3,3,3,3
123,2,2,2,2,2,2
325,1,1,1,1,1,1
107,2,2,2,2,2,1
104,3,2,1,2,2,2
301,1,2,1,1,1,1
136,2,1,1,1,2,1
468,3,3,3,3,3,3
87,3,1,2,2,2,1
557,2,2,2,2,3,2
557,2,2,2,2,3,2
388,3,3,2,1,2,1
363,2,2,1,2,1,1
43,2,2,2,2,2,2
37,2,2,2,1,2,2
134,2,3,1,1,2,2
86,2,2,2,2,2,3
228,2,2,1,1,3,1
291,2,3,3,2,3,2
398,3,2,1,2,2,1
283,1,2,3,3,3,3
530,2,3,3,3,2,3
554,2,2,2,2,3,3
344,2,2,2,2,2,1
412,2,2,2,2,2,2
543,2,2,3,2,3,3
342,3,3,3,3,3,3
44,2,2,2,2,2,1
320,1,3,1,1,1,1
34,2,2,2,2,2,3
142,2,3,2,2,1,1
459,2,2,2,2,2,2
488,2,2,1,3,3,3
310,2,1,3,2,2,2
428,2,2,2,2,2,2
114,2,3,3,3,3,1
378,3,1,1,2,1,1
154,2,2,2,1,1,1
272,1,1,1,1,2,1
148,2,2,1,1,2,1
410,2,2,2,2,2,2
284,3,1,1,2,2,2
341,2,3,2,2,2,2
384,2,2,1,2,1,1
198,3,2,1,2,1,2
48,2,2,2,2,1,2
338,1,2,2,2,2,2
132,2,2,2,2,2,2
544,2,3,3,2,2,3
526,2,3,3,3,3,3
593,1,3,3,3,3,3
355,1,1,1,1,1,2
264,3,2,3,1,2,2
572,3,2,3,3,3,3
449,2,2,3,3,3,2
317,1,2,3,1,3,1
31,2,2,2,2,3,3
232,1,1,1,1,1,1
207,1,3,1,1,1,2
290,2,2,3,2,1,2
374,1,1,1,1,2,1
545,3,1,3,3,3,3
608,2,2,2,2,2,3
179,2,2,2,2,2,2
376,2,3,2,1,2,1
336,2,1,1,2,1,1
636,3,3,3,3,3,3
424,2,2,2,2,2,2
385,1,1,3,1,1,1
377,3,2,2,3,2,1
483,2,2,2,2,2,2
561,2,2,2,2,2,2
411,2,2,2,1,1,1
391,1,1,1,1,1,1
250,2,2,3,3,3,2
353,1,2,1,2,1,1
303,1,2,1,1,2,1
192,1,3,1,2,1,2
88,2,2,1,1,2,2
327,1,1,2,2,3,2
318,1,2,3,2,3,1
234,1,1,1,1,1,1
466,2,2,3,2,2,2
366,1,2,1,2,2,1
340,2,1,1,1,2,1
205,3,3,2,3,3,1
386,1,2,1,1,1,2
268,3,3,3,3,3,1
308,2,1,2,1,3,1
230,1,1,1,1,1,2
1,1,2,1,1,2,1
155,2,2,2,2,2,1
447,3,2,2,2,2,2
143,3,2,2,2,2,2
161,2,2,1,1,2,1
592,3,3,3,3,3,3
577,2,2,2,2,2,2
436,2,2,2,2,3,2
549,2,3,3,3,3,3
40,3,2,2,2,2,2
167,2,2,2,2,2,2
243,3,3,3,3,3,2
32,1,3,3,3,3,3
226,1,1,1,1,1,1
489,3,3,3,3,3,3
380,2,1,1,2,1,1
417,2,2,2,3,1,1
126,2,2,2,2,2,2
95,3,3,3,3,3,2
330,1,2,1,1,1,1
77,2,2,2,2,2,2
333,1,1,1,1,1,1
151,2,1,1,1,1,1
18,2,2,2,2,3,2
382,2,1,1,1,1,1
595,3,3,3,3,3,3
193,1,2,1,1,1,2
520,3,3,3,3,3,3
174,2,2,2,1,2,1
323,1,1,1,1,2,1
173,2,2,1,1,2,2
204,1,1,1,2,2,1
354,1,1,1,1,1,2
140,3,2,1,1,2,2
584,2,2,2,2,2,2
25,1,3,3,2,3,3
562,2,2,2,2,2,3
61,2,3,3,3,3,3
10,2,3,2,2,2,3
240,2,2,1,1,1,1
402,2,2,2,2,2,2
13,3,3,3,3,3,3
84,3,2,2,1,2,2
42,2,2,2,2,2,2
149,2,2,2,2,1,1
500,2,2,2,2,2,2
78,2,2,1,2,2,2
255,2,2,3,3,3,3
184,2,1,1,1,1,2
558,2,2,2,2,2,2
397,2,2,2,1,2,1
4,2,1,2,2,2,1
41,2,1,2,1,2,2
435,2,2,2,2,2,2
265,3,3,3,3,3,2
294,1,2,1,3,2,2
401,2,2,2,2,2,2
473,2,2,3,3,2,3
533,3,2,3,2,2,3
125,2,2,2,2,2,1
96,3,3,3,3,3,3
28,3,3,3,3,3,3
14,2,2,2,2,2,2
271,3,2,3,3,2,2
587,3,3,3,3,3,3
570,2,2,2,2,2,2
304,1,3,1,1,2,1
254,2,3,2,3,2,2
115,1,2,1,1,2,1
443,3,2,2,2,2,2
551,3,3,3,3,3,3
298,2,2,2,1,1,2
564,2,2,2,2,2,2
146,3,2,2,2,2,2
351,1,2,1,1,2,1
98,3,3,3,3,3,3
138,2,2,1,1,1,2
605,2,3,3,2,2,3
364,2,1,1,1,2,2
322,1,3,1,3,3,3
439,2,1,1,2,3,3
117,2,2,2,3,2,2
175,2,1,2,2,2,2
160,2,1,1,2,2,1
2,2,3,1,2,3,2
332,1,1,1,1,1,1
517,3,3,3,3,3,3
504,3,2,2,2,2,2
279,2,3,1,1,1,1
345,1,1,1,1,1,1
59,2,3,2,3,3,3
465,1,1,2,2,2,1
404,3,1,2,2,1,2
282,3,3,3,2,3,2
99,2,2,2,2,1,2
242,2,3,3,3,3,2
623,2,3,3,3,2,3
275,3,3,3,3,3,3
387,2,1,1,1,1,1
519,3,3,3,3,3,3
492,2,3,2,3,3,3
137,2,3,1,2,1,1
614,2,3,2,2,2,3
30,2,3,2,3,3,3
196,2,1,1,1,1,2
414,2,2,2,2,2,2
512,3,2,2,2,2,2
495,3,3,3,3,3,3
609,2,1,2,2,2,3
409,2,2,2,2,2,2
63,2,2,3,3,3,3
510,2,2,2,2,2,2
357,2,2,2,1,2,2
64,2,3,1,1,2,3
182,1,2,1,2,1,1
70,2,2,2,2,2,2
122,2,2,2,2,2,2
462,2,1,1,1,1,3
65,2,2,3,2,2,2
403,1,1,1,1,1,1
472,2,2,2,2,2,2
292,2,3,3,2,3,2
372,2,2,2,2,2,1
60,3,3,2,3,3,3
611,2,2,3,3,1,3
62,3,3,3,2,3,3
532,3,3,3,2,3,3
238,1,1,2,2,1,1
186,2,2,2,1,1,2
454,2,2,2,2,2,2
568,2,2,2,2,2,2
302,1,2,1,1,1,1
361,2,1,3,1,3,2
111,3,3,2,2,3,3
375,2,1,2,1,2,1
274,3,1,3,1,2,2
626,2,2,2,2,2,3
156,1,2,1,1,1,1
197,2,2,2,2,1,2
206,1,2,1,1,1,1
97,3,3,3,3,3,3
50,3,2,2,2,2,1
246,3,3,2,2,3,2
399,2,1,1,3,3,1
531,2,3,3,3,3,3
324,1,1,1,1,2,1
177,2,1,1,1,1,2
630,2,3,1,3,2,3
464,2,1,2,2,2,1
306,1,1,1,1,1,1
548,3,2,3,3,3,3
509,3,2,2,2,2,2
90,3,3,3,3,3,3
379,2,3,2,3,1,1
575,2,3,3,3,2,3
601,3,3,3,3,3,3
529,2,3,3,3,3,3
45,2,2,2,2,2,2
633,3,2,3,3,3,3
622,2,3,3,3,2,3
29,2,3,2,3,3,3
635,3,3,3,3,3,3
181,1,2,1,2,2,1
209,1,2,1,1,2,1
316,1,2,1,2,1,1
72,3,2,2,2,2,2
579,2,2,2,2,3,2
477,3,3,3,3,3,3
36,3,3,1,1,2,2
356,1,1,1,1,2,1
523,2,3,2,2,3,2
113,2,2,1,2,1,2
620,3,3,3,3,3,2
314,1,2,2,1,1,1
349,2,2,2,2,2,2
415,2,1,1,1,2,1
38,2,3,2,2,1,2
157,2,2,2,1,1,2
431,2,2,2,2,1,2
434,2,2,2,2,3,2
108,2,1,1,2,2,2
631,2,2,2,2,2,3
437,2,2,2,2,2,2
452,2,2,2,2,2,2
560,2,2,2,2,2,2
505,3,2,3,3,2,3
448,3,1,3,3,3,2
105,1,2,2,3,1,2
539,3,2,2,3,2,3
413,2,2,2,2,2,2
360,1,1,1,1,1,2
200,2,1,1,3,3,2
408,2,2,2,2,2,2
67,2,1,1,1,2,2
221,1,1,1,1,1,1
110,3,3,3,3,2,3
498,2,2,1,3,2,3
220,1,1,1,1,1,1
463,2,2,2,2,2,2
591,3,3,3,3,3,3
396,2,1,2,2,2,1
239,1,1,1,1,1,1
93,3,3,3,3,3,3
370,1,1,1,1,2,1
118,2,3,2,2,2,2
343,1,3,2,1,2,1
604,2,3,3,2,1,3
83,2,2,2,2,1,2
496,3,3,3,3,3,3
617,2,3,3,3,3,3
212,1,1,1,1,1,1
347,1,1,1,1,1,1
236,1,1,2,2,3,1
216,1,2,2,2,2,1
201,2,2,1,1,2,1
373,2,2,1,1,3,1
121,3,2,3,3,3,2
430,2,2,2,2,2,3
597,3,2,3,3,3,3
9,2,2,2,2,3,2
58,2,3,2,3,3,3
280,3,1,1,1,1,1
210,1,1,1,1,1,1
129,2,2,2,2,2,1
82,2,2,2,2,2,2
499,2,3,3,3,3,3
102,2,3,3,3,3,2
429,2,2,2,2,2,3
219,1,2,1,1,1,1
433,2,2,2,2,2,2
585,3,3,3,3,3,3
171,2,2,1,2,2,2
607,3,3,3,3,2,3
565,2,2,2,2,2,3
348,1,1,2,1,3,2
552,3,1,3,2,3,3
106,1,2,2,2,1,1
109,2,2,1,2,2,2
423,3,2,2,3,2,2
334,1,1,1,1,1,1
289,1,2,1,2,2,2
456,2,2,2,2,2,2
