,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120
1,1,108,840,745,510,705,1108,1318,834,643,2969,825,1106,728,605,801,1065,910,727,764,2249,800,1263,728,630,747,1020,1027,862,865,1838,4489,1584,803,464,240,175,133,169,217,1506,4616,870,523,518,630,713,877,624,317,92,9304,446,17,6,5,2,0,0,0,0,9288,460,17,9,4,2,0,0,0,0,3508,1138,659,532,469,640,879,1157,696,102,3038,963,801,696,590,466,392,424,494,1916,2115,2741,1905,1091,628,468,398,349,85,0,4896,963,401,311,267,347,617,939,733,306,14,75,281,442,528,508,531,492,595,6314
2,2,1104,650,1545,552,277,389,465,281,145,796,762,591,1020,923,923,594,309,175,148,759,536,394,747,910,1117,885,508,197,220,690,2976,1314,346,149,143,122,155,179,228,592,1170,541,835,995,763,799,684,359,57,1,4728,1451,23,2,0,0,0,0,0,0,4715,1462,26,1,0,0,0,0,0,0,661,404,371,494,843,1056,1181,911,282,1,1227,1251,1111,765,459,242,123,111,213,702,710,1111,1137,881,586,414,335,555,453,22,1096,468,304,274,410,620,970,1099,719,244,179,325,589,563,572,583,589,540,664,1600
3,3,11556,10444,8721,7818,7830,11670,15969,23662,47354,244829,8796,6528,5125,4458,4492,5340,8355,14023,61734,271002,6275,5269,4558,3901,4381,5405,7526,14701,72761,265076,77014,21423,13874,12019,12509,13729,16391,23507,35424,163963,96454,30354,19459,17727,17437,19506,24084,31314,47127,86391,377876,11015,426,298,107,80,37,7,6,1,378227,10489,697,199,119,62,45,10,4,1,39472,27425,21470,17080,15726,17763,21587,33489,63252,132589,33616,9183,6666,5647,6033,7650,9661,16807,61009,233581,383496,5873,251,63,45,34,24,19,36,12,117624,23763,16059,14469,15307,18097,23421,32947,48280,79886,1218,3956,9046,13789,16816,21784,27846,33070,43408,218920
4,4,8415,3843,2990,1530,3034,1637,3008,2894,4235,40411,6894,3535,1996,1131,1298,2271,2550,2843,9506,39973,4632,3010,1939,2063,1666,1768,2729,4040,12705,37445,26935,3808,1547,2000,1291,1840,1777,2211,2598,27986,33443,8214,4532,3568,3294,2945,3370,3835,4456,4340,69175,2621,103,76,17,4,1,0,0,0,69287,2470,170,45,18,6,1,0,0,0,15796,9334,7141,4853,4013,4641,4120,5909,7850,8340,16205,2455,2131,1142,1291,2116,1496,3243,7224,34692,64586,6996,123,63,48,36,43,33,38,31,35233,2935,1884,1820,2105,2494,2913,3763,3936,14914,662,1313,1719,1954,2123,2225,2620,3056,5006,51319
5,5,5387,4453,1094,230,119,55,35,25,62,99,3420,3912,2199,1003,479,213,80,48,112,93,2027,3141,2387,1656,1123,584,294,129,150,68,3544,1949,1272,971,919,926,943,710,279,46,2625,2081,1517,1406,1314,1140,885,531,59,1,3075,4412,1324,1198,799,480,207,57,7,0,3062,4214,1629,1109,765,479,236,58,7,0,1655,1689,1858,1653,1482,1444,1060,614,101,3,4440,1971,1347,1100,900,776,561,280,117,67,109,130,159,348,563,1258,2733,3463,2395,401,1185,1438,1733,2470,2478,1528,553,143,29,2,481,1315,1502,1378,1299,1151,1135,1025,920,1353
6,6,2124,4985,1736,238,106,47,9,4,3,1,1200,3972,2190,1101,453,205,90,31,10,1,536,2931,2291,1522,1107,567,224,58,17,0,1649,2257,1565,1133,889,677,524,402,150,7,1127,2009,1520,1289,1112,1035,739,315,107,0,471,2615,2206,2020,1312,462,160,7,0,0,466,2462,2245,2081,1277,556,159,7,0,0,438,1485,1673,1563,1277,1228,987,475,126,1,2794,2203,1490,942,725,539,346,174,40,0,1,5,57,145,499,1361,2632,3126,1353,74,168,1138,1732,2094,2094,1367,513,134,13,0,209,688,1216,1235,1245,1254,1299,1028,831,248
7,7,2329,3108,1279,942,901,521,331,227,139,1437,1821,3658,1094,1113,945,473,289,239,216,1366,1099,3640,1499,1231,1034,564,316,316,257,1258,2360,1897,1201,925,1100,1217,785,344,156,1229,2734,2231,1823,1881,1343,643,385,163,11,0,3404,3995,1544,990,593,363,145,120,59,1,3489,3779,1697,935,630,331,169,130,54,0,2132,2082,2075,1756,1564,792,461,287,65,0,2760,1610,1368,1070,1114,841,681,322,151,1297,1079,805,447,506,725,1001,1460,2252,2365,574,1844,1503,2160,2136,1781,1090,458,203,37,2,13,177,640,1171,1446,1666,1764,1410,794,2133
8,8,362,451,380,394,839,1354,1976,1615,410,824,554,512,552,908,1713,2045,1099,341,181,700,430,523,472,776,1790,2170,1266,350,206,622,4833,2166,468,140,87,69,80,123,170,469,1757,863,891,1230,1420,1288,785,266,92,13,8425,178,2,0,0,0,0,0,0,0,8413,189,3,0,0,0,0,0,0,0,1231,449,529,610,1021,1715,1713,1072,240,25,1991,1905,1797,1161,520,211,124,106,169,621,934,2334,3022,1192,369,227,211,191,121,4,1592,377,228,206,322,744,1808,2156,991,181,58,104,221,543,780,967,1089,1110,1197,2536
9,9,402,561,468,311,405,400,512,757,799,6560,730,718,470,424,450,555,557,528,781,5962,572,769,597,542,507,554,577,532,1148,5377,3771,900,414,305,231,226,237,269,452,4370,4955,1328,814,746,658,566,571,592,654,291,10920,242,9,4,0,0,0,0,0,0,10918,241,15,1,0,0,0,0,0,0,3174,1275,1078,831,767,893,796,869,1098,394,2562,613,490,360,334,307,269,316,841,5083,6064,2883,1134,511,244,153,110,45,17,14,7440,929,403,332,308,423,479,340,216,305,66,120,121,101,112,138,243,383,581,9310
10,10,445,669,472,321,469,696,681,482,279,657,772,653,541,556,652,563,375,339,189,531,507,614,527,677,677,538,527,375,265,464,3340,714,261,120,74,57,55,65,65,420,1664,832,573,459,362,337,344,320,252,28,4762,409,0,0,0,0,0,0,0,0,4758,413,0,0,0,0,0,0,0,0,1137,473,561,574,465,445,430,567,460,59,2190,814,563,353,213,199,149,117,99,474,887,1817,1353,580,231,126,73,37,26,41,1284,344,208,210,348,496,628,477,368,808,228,232,222,213,183,252,357,467,802,2215
