,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120
10,10,107,278,310,229,259,277,431,721,1164,1395,453,474,312,331,394,632,538,596,516,925,415,458,363,333,578,572,545,654,410,843,3038,643,264,125,92,72,64,48,73,752,2103,732,516,372,304,316,324,275,201,28,5156,15,0,0,0,0,0,0,0,0,5154,17,0,0,0,0,0,0,0,0,1420,592,595,430,384,422,387,484,410,47,1745,698,436,357,278,231,209,181,201,835,1620,2258,791,258,98,73,39,19,10,5,1710,305,160,156,238,378,599,611,456,558,94,130,157,135,150,184,299,420,734,2868
11,11,69,169,147,94,159,110,169,138,194,3943,218,159,147,112,133,137,109,167,299,3711,226,160,155,98,138,148,195,194,411,3467,867,181,107,78,93,121,147,203,260,3135,3440,737,369,245,145,106,82,48,19,1,5189,3,0,0,0,0,0,0,0,0,5190,2,0,0,0,0,0,0,0,0,1984,997,679,490,383,282,187,139,49,2,567,129,109,86,99,103,129,193,351,3426,3797,525,278,166,112,90,101,79,40,4,4370,321,130,83,66,48,36,51,54,33,7,20,39,35,32,31,60,70,140,4758
12,12,186,304,254,240,205,214,433,531,469,128,207,340,209,223,343,533,383,496,137,93,168,327,197,271,399,477,553,400,86,86,1601,779,196,105,76,56,34,28,13,76,472,226,286,403,633,443,300,130,63,8,2866,98,0,0,0,0,0,0,0,0,2875,89,0,0,0,0,0,0,0,0,312,164,203,194,333,479,600,452,207,20,577,416,455,590,354,232,159,84,14,83,226,1056,611,354,215,132,129,146,91,4,258,130,149,166,187,251,433,668,400,322,36,89,119,130,199,306,468,610,471,536
13,13,39,60,143,158,171,115,327,126,87,1400,11,29,161,278,350,200,84,82,124,1307,11,27,26,195,473,276,139,98,143,1238,763,512,44,26,18,28,37,37,60,1101,1342,101,88,155,343,463,97,34,3,0,2349,277,0,0,0,0,0,0,0,0,2365,261,0,0,0,0,0,0,0,0,1125,176,82,66,136,239,607,161,34,0,56,446,362,186,58,56,62,57,119,1224,1345,361,460,329,81,19,4,5,8,14,1352,46,23,35,43,59,200,511,279,78,29,49,99,167,213,245,155,125,62,1482
14,14,3672,2467,1190,587,299,184,154,147,201,6271,2235,2066,1603,1161,787,449,220,242,351,6058,1698,2287,1516,1256,1006,477,318,333,542,5739,3552,1520,828,623,364,432,396,530,773,6154,7510,1871,1272,1596,1422,735,397,255,101,13,10491,4207,214,196,43,17,4,0,0,0,10587,3993,399,120,55,14,4,0,0,0,4841,2562,1913,1348,1495,1351,893,518,214,37,3207,1405,1095,616,435,475,473,936,821,5709,5518,1001,949,866,820,760,849,1216,2315,878,7937,2431,1196,689,581,680,636,481,236,305,159,550,685,731,889,943,929,998,1013,8275
15,15,729,965,370,179,86,39,31,44,66,3883,86,581,671,573,242,141,76,60,132,3830,202,527,553,532,323,133,87,83,196,3756,571,252,77,97,63,118,129,263,409,4413,4134,305,335,432,556,411,145,52,22,0,4653,1537,109,63,13,10,5,1,1,0,4698,1452,164,48,15,7,6,2,0,0,3616,565,503,377,445,321,412,117,36,0,134,304,184,123,172,219,197,697,665,3697,3567,506,242,176,129,101,104,201,629,737,4467,738,316,133,114,131,141,153,120,79,85,160,336,417,294,235,204,180,200,4281
16,16,6717,1792,484,196,84,58,55,58,80,429,3973,2430,1117,680,485,345,214,139,172,398,3022,2711,1423,776,586,391,285,199,221,339,2722,1629,989,828,690,771,808,740,483,293,2999,2096,1151,824,722,665,621,542,326,7,1334,3424,682,653,539,531,743,867,726,454,1347,3308,811,590,539,504,778,860,776,440,1500,2350,1631,1032,866,751,693,663,451,16,4154,1479,844,682,547,592,465,557,283,350,338,208,207,216,343,510,922,1967,3926,1316,1025,2459,2044,1525,1221,797,498,265,104,15,694,1127,1092,1065,1018,969,1018,985,890,1095
17,17,2338,1830,477,110,64,60,26,36,51,355,737,1449,1121,667,401,291,165,81,92,343,490,1323,1054,774,600,345,212,126,119,304,548,556,490,528,342,499,528,711,590,555,821,932,691,608,660,603,520,392,120,0,539,1374,341,555,355,606,563,574,330,110,558,1245,582,404,399,454,648,623,322,112,384,751,891,595,745,649,660,507,165,0,915,710,526,446,423,640,427,593,348,319,256,148,86,133,248,391,712,1255,1660,458,583,961,1135,1079,776,492,249,66,5,1,262,642,656,653,610,535,540,485,361,603
18,18,8012,2189,668,409,307,279,280,386,580,28342,4952,3239,1334,815,667,484,447,481,1124,27909,3812,3487,1828,980,753,580,593,633,1605,27181,4909,2368,1557,1257,1168,1116,1040,1133,1310,25594,27734,4158,2223,1650,1471,1398,1328,943,529,18,30343,5820,1145,846,684,496,687,652,524,255,30320,5715,1235,841,671,543,671,647,553,256,19004,7503,3896,2523,2097,1891,1678,1660,1082,118,5794,2179,1249,921,698,737,650,771,1402,27051,21831,7109,957,721,706,846,1267,2261,4386,1368,28151,3326,2545,2051,1719,1385,1129,579,326,241,1117,1400,1308,1289,1041,1047,1158,1265,1706,30121
19,19,4094,3670,1753,802,356,146,46,41,48,512,1612,2612,2146,1588,1302,1057,419,138,94,500,1072,2063,1958,1658,1696,1290,741,400,137,453,793,1078,1008,1198,986,1474,1531,1798,983,619,1547,1518,1313,1151,1562,1554,1524,1083,216,0,1012,1645,513,797,687,1114,1200,1495,1401,1604,1017,1547,733,630,764,878,1265,1664,1386,1584,706,1489,1433,1202,1511,1513,1846,1386,380,2,1616,1346,1172,1020,1089,1700,1143,1419,477,486,368,136,106,252,783,1543,2275,2654,2686,665,1035,1555,1897,2411,2030,1484,866,173,17,0,240,1170,1889,1932,1824,1486,1031,656,352,888
