,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120
0,0,16867,10088,2566,1068,809,896,774,1334,3114,172726,11889,12543,4296,2020,1280,1381,1150,2043,7331,166511,6594,13347,7105,3235,2277,2110,2135,2945,10617,160220,32332,9080,4627,2911,2753,2338,2912,3283,4751,145765,127315,26637,14719,9432,6847,5957,4721,4908,4887,5650,186302,21801,940,719,259,237,74,21,1,0,187228,21003,1550,506,284,192,104,22,1,0,73188,36412,26227,15842,11795,9978,8591,8530,9507,10894,23002,6969,3255,2527,1938,2129,1777,2881,7660,157596,137075,42874,2490,2473,3079,4038,5585,6756,3903,1365,160636,6515,6190,6255,5842,4834,4016,4015,4035,5877,908,1273,2498,3414,3919,4433,5198,5919,7255,171314
1,1,740,972,274,94,83,73,67,120,154,2337,661,696,601,174,119,90,112,122,291,2198,544,471,780,396,192,150,125,156,407,2010,2250,521,171,102,72,67,93,125,231,1771,4021,736,567,305,170,55,29,12,8,32,4826,1331,0,0,0,0,0,0,0,0,4868,1292,0,0,0,0,0,0,0,0,3284,632,741,528,286,138,58,28,16,32,1582,466,109,89,75,51,54,113,272,1975,1697,1051,476,390,385,336,292,246,284,74,3313,305,263,286,296,380,278,155,56,65,57,16,74,117,151,144,235,257,383,3628
2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,3,919,409,464,532,722,1108,1768,3451,9185,276493,837,220,258,266,335,490,703,1440,10267,281157,774,112,169,235,309,452,696,1677,13554,278903,9704,4676,3622,3264,3554,4212,5256,7814,12018,243595,127697,47046,21301,14447,10758,9451,10456,12330,18126,28715,273754,19523,3025,2049,1052,768,548,338,85,13,274141,18735,3757,1780,1127,655,609,394,82,12,27707,50721,44276,29888,21726,18990,16769,16904,24337,48003,2053,887,763,750,903,1076,1598,3470,15429,267301,220558,74900,92,42,35,67,118,100,111,590,217868,9729,5942,5076,5141,5841,7660,11459,14796,13563,739,245,618,1443,2573,4202,6281,9888,14937,253913
4,4,83,5,4,3,11,32,73,135,529,71122,96,3,5,6,17,40,49,145,994,70642,108,4,3,12,19,37,59,234,1513,70008,1099,506,395,299,430,301,468,596,1145,66758,58903,6260,1991,1204,765,650,724,712,582,206,69974,1734,117,91,31,29,9,9,3,0,70053,1605,207,52,31,24,13,10,2,0,28785,21333,8918,3859,2458,1574,1323,1308,1552,887,97,91,66,113,128,149,248,419,1222,69464,49745,22044,10,4,10,19,21,21,28,94,67447,862,500,358,318,333,381,657,717,424,93,1,1,1,2,7,78,318,970,70526
5,5,1961,499,68,18,13,8,4,3,6,11,1497,959,176,64,28,11,5,3,10,6,784,1349,427,175,76,49,9,9,12,7,1575,556,273,194,143,100,81,64,51,15,1216,1189,507,267,164,116,56,27,0,0,1544,1989,94,70,30,46,16,6,0,0,1542,1973,123,57,37,38,19,8,0,0,570,868,864,457,260,166,98,60,6,0,1582,442,204,123,46,26,9,3,12,5,43,41,54,69,126,197,419,814,867,267,158,643,792,516,371,248,114,46,15,149,156,154,228,259,336,407,435,392,245,147
6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,7,1515,4780,1784,479,267,204,187,142,192,1664,1535,4569,1931,571,288,212,187,167,285,1469,1081,5036,1897,586,308,271,192,212,376,1255,2757,1562,960,880,743,710,719,756,810,1317,2565,3126,2701,1626,691,330,123,44,8,0,3110,7738,230,81,29,16,6,2,2,0,3140,7681,263,72,33,13,8,2,2,0,1503,2626,3245,1983,1023,535,199,85,15,0,3344,1803,1315,1062,883,715,299,149,283,1361,1117,769,438,340,348,527,1062,2206,3502,905,2855,1882,2201,1892,1311,715,280,71,7,0,19,182,547,1021,1275,1383,1369,1552,1147,2719
8,8,45,32,8,11,8,5,8,24,27,346,39,34,23,12,6,5,8,37,46,331,36,44,35,18,8,16,28,26,57,321,191,36,35,12,8,5,11,17,26,304,492,66,47,38,18,16,13,12,21,52,745,68,0,0,0,0,0,0,0,0,749,64,0,0,0,0,0,0,0,0,350,86,60,50,14,14,14,25,29,65,78,11,9,11,12,11,8,31,22,277,306,116,58,24,17,25,17,7,3,16,470,46,28,26,22,18,11,5,0,19,14,0,0,2,2,4,7,6,7,499
9,9,34,0,0,0,0,0,0,0,0,2126,35,0,0,0,0,0,0,1,0,2075,35,0,0,0,0,0,2,2,0,2019,58,0,0,0,0,0,0,1,0,1961,1811,26,7,3,0,0,0,0,0,0,1718,0,0,0,0,0,0,0,0,0,1767,0,0,0,0,0,0,0,0,0,969,823,78,21,6,7,3,0,0,0,5,0,0,0,0,0,0,0,0,2181,1464,556,0,0,0,0,0,0,0,0,1847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1847
