,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120
0,0,25224,20198,14119,7616,6016,7716,7476,9007,15602,309924,24425,23748,13101,8980,7775,6980,8513,11147,29433,288796,19316,24606,16606,11188,9216,9014,10016,14829,38312,269795,93462,21063,12900,11039,9812,10472,9861,10531,12649,231109,243290,49484,26945,20253,16802,14751,13198,13825,13600,10750,379676,21344,5070,3569,2023,1637,2535,3754,2356,934,380125,20262,5832,3465,2009,1594,2598,3752,2371,890,139643,67954,48669,33725,24625,21657,18919,19625,24147,23934,59452,18346,13605,10154,8650,8708,7982,10809,24342,260756,312896,48953,7223,4762,4653,5814,8335,12266,14005,3991,292174,18535,15449,14197,12815,11108,9600,10051,10105,28863,1419,3301,6302,8865,10667,12315,13897,14439,18250,333442
1,1,2949,1584,1366,840,352,333,196,172,265,1723,2792,1872,1405,802,418,246,215,185,387,1458,2323,1697,1548,975,633,349,252,271,440,1292,3969,1559,819,586,399,426,347,297,233,1145,5421,1275,1077,838,539,298,193,111,28,0,9688,92,0,0,0,0,0,0,0,0,9686,94,0,0,0,0,0,0,0,0,4310,1506,1284,1149,686,396,258,143,45,3,3783,1718,1032,525,375,299,152,257,316,1323,1326,680,697,664,722,865,1063,1251,1860,652,5210,1035,644,702,815,673,458,165,45,33,37,141,247,351,445,554,761,894,923,5427
2,2,1338,1765,619,397,163,232,81,122,45,1442,671,1335,1308,688,322,170,150,86,64,1410,582,1051,1563,684,409,209,179,76,83,1368,2888,607,263,171,123,181,169,194,172,1436,1591,792,1100,1125,709,392,242,129,85,39,5900,304,0,0,0,0,0,0,0,0,5969,235,0,0,0,0,0,0,0,0,944,696,738,1280,1115,692,377,194,127,41,1451,1611,486,385,327,219,106,138,75,1406,1376,827,490,460,431,446,480,552,748,394,1574,446,467,473,571,696,725,663,411,178,108,187,447,663,534,548,645,620,540,1912
3,3,7071,6325,5835,5237,5635,9107,11529,18677,38431,282006,5821,3829,3177,2763,3025,3865,5828,11055,50987,299503,4234,3299,2817,2792,2993,3568,5477,10946,60783,292944,56779,17523,11225,11243,9829,12566,14243,20542,30388,205515,110859,38106,22458,19010,18153,18809,22559,27986,41934,69979,380097,8948,367,245,92,67,23,11,3,0,380344,8559,570,181,102,53,30,13,1,0,45869,30822,25764,22318,20171,21045,24024,32814,56613,110413,22512,6287,4821,4815,4579,5802,7578,14598,52696,266164,382291,6605,386,180,93,80,66,62,42,48,172716,22140,14495,12957,14056,16947,21860,29278,38338,47066,665,1869,4680,9421,12709,16126,21036,26782,37381,259184
4,4,717,656,689,428,497,959,730,1663,2812,62846,938,722,620,517,443,749,802,1456,5201,60549,607,905,647,565,622,766,1005,1940,7533,57407,10941,2331,1428,1168,1087,1413,1403,2136,2904,47186,43641,7876,3906,2768,2417,2390,2378,2428,2476,1717,71943,54,0,0,0,0,0,0,0,0,71953,44,0,0,0,0,0,0,0,0,23607,11705,7472,5018,3929,3466,3534,4284,5413,3569,4608,1101,953,646,821,889,1124,1723,5346,54786,70745,1167,44,14,10,6,1,2,5,3,56007,2827,1543,1277,1283,1344,1506,1719,1842,2649,3,9,56,178,381,692,1096,1534,2612,65436
5,5,7810,2212,381,146,82,68,40,36,43,741,4347,4711,1054,286,168,88,68,52,83,702,3150,4546,2016,585,245,134,75,54,123,631,2175,1735,1319,1078,966,986,939,988,644,729,2906,2703,2014,1510,1073,754,409,160,24,6,3470,6007,1029,632,244,100,62,15,0,0,3504,5788,1188,645,248,110,61,15,0,0,1954,2675,2644,1958,1372,654,214,61,23,4,3788,2400,1659,1042,841,541,360,159,114,655,584,231,162,141,178,286,574,1864,5021,2518,1863,2717,3116,2342,1035,322,94,29,12,29,678,1246,1359,1338,1255,1226,1095,912,877,1573
6,6,5343,3133,471,99,45,22,9,8,12,111,2136,4748,1429,473,198,101,31,12,19,106,998,4037,2373,1012,464,191,45,19,25,89,553,1534,1635,1497,1362,999,747,552,264,110,638,2039,1910,1605,1345,1025,483,149,33,26,387,1156,847,1292,1850,1375,1530,787,29,0,389,1115,855,1276,1843,1524,1479,746,26,0,296,1644,2065,1910,1489,1160,527,103,32,27,2092,2712,1853,1106,725,392,197,60,21,95,41,62,53,88,164,385,1129,2586,3851,894,217,1462,2398,2536,1670,802,157,9,2,0,298,995,1596,1898,1588,1188,812,537,213,128
7,7,3267,3930,1697,918,395,285,215,161,114,232,2774,3643,1908,1209,624,288,223,216,155,174,1856,3797,2347,1388,627,353,302,250,156,138,2778,1795,1400,1223,1233,1184,744,440,212,205,2027,2385,2184,1835,1259,720,423,231,129,21,2353,7386,1086,281,82,16,9,1,0,0,2322,7193,1344,248,74,23,9,1,0,0,1438,1881,2452,2068,1476,931,518,317,128,5,3552,2130,2045,1484,861,420,238,160,143,181,283,345,317,323,488,991,1682,2659,3451,675,799,1622,2786,2622,1718,975,480,178,32,2,462,705,939,1326,1465,1398,1308,1123,1218,1270
8,8,1011,855,2333,1935,516,550,175,131,84,1015,1004,2758,2059,791,474,203,163,98,82,973,797,1176,2819,1213,828,402,239,113,93,925,5847,658,211,159,95,125,141,217,207,945,3106,1622,1334,1248,798,285,130,61,20,1,8590,15,0,0,0,0,0,0,0,0,8591,14,0,0,0,0,0,0,0,0,1776,1341,1601,1711,1113,634,288,101,39,1,3474,2091,599,434,446,302,147,106,74,932,1211,1572,1702,1459,724,264,295,400,651,327,2133,631,518,471,643,856,1178,1223,769,183,25,98,330,502,602,816,954,923,1182,3173
9,9,1126,571,648,662,207,354,262,266,386,6693,1059,1029,628,435,358,275,266,245,587,6293,799,1007,937,450,340,262,328,315,737,6000,2513,608,347,341,274,367,280,414,511,5520,7219,1345,760,510,446,307,293,216,71,8,11110,62,3,0,0,0,0,0,0,0,11117,55,3,0,0,0,0,0,0,0,4698,1974,1282,929,684,554,479,393,172,10,2124,626,353,275,343,280,200,390,561,6023,6068,1541,643,503,402,341,315,459,610,293,8308,787,484,311,330,306,260,216,116,57,48,107,130,183,223,241,274,321,526,9122
10,10,1130,564,670,594,277,405,241,307,137,846,1053,1145,593,389,381,294,235,165,130,786,774,789,889,389,456,344,361,255,168,746,2554,520,215,221,181,203,181,215,181,700,1925,868,627,461,362,274,239,174,176,65,4954,215,1,1,0,0,0,0,0,0,4967,200,4,0,0,0,0,0,0,0,1309,733,670,603,495,404,352,249,268,88,1858,758,402,343,347,290,129,178,82,784,1014,864,888,528,292,245,252,323,467,298,1706,393,296,288,309,405,583,581,333,277,281,279,232,253,251,312,396,467,539,2161
11,11,596,236,116,73,62,76,79,79,120,3755,418,352,141,104,74,78,110,98,240,3577,273,336,207,120,122,101,132,163,292,3446,701,224,149,148,107,173,162,207,204,3117,3414,689,368,262,211,122,92,28,5,1,5102,90,0,0,0,0,0,0,0,0,5107,85,0,0,0,0,0,0,0,0,2159,924,659,473,347,273,216,116,24,1,581,227,145,117,122,126,97,118,250,3409,3545,415,180,125,113,128,135,214,266,71,4235,366,257,151,96,48,18,8,6,7,15,38,46,67,86,84,92,123,172,4469
12,12,411,889,344,361,188,283,198,97,34,159,411,671,685,452,326,154,71,33,17,144,376,647,629,498,352,161,86,60,32,123,1677,459,234,158,74,56,56,52,54,144,575,579,657,488,231,169,115,80,51,19,2641,323,0,0,0,0,0,0,0,0,2712,252,0,0,0,0,0,0,0,0,385,407,597,601,346,232,157,129,84,26,937,923,343,239,167,102,63,37,19,134,197,265,469,417,317,347,287,253,231,181,400,166,221,291,393,465,419,292,175,142,112,117,184,258,281,278,339,389,428,578
13,13,1914,286,80,33,24,21,17,21,26,204,1301,760,142,56,35,23,36,31,47,195,1150,873,160,85,43,37,29,27,49,173,337,206,291,180,122,135,177,470,435,273,270,677,752,353,196,148,122,51,39,18,1138,1488,0,0,0,0,0,0,0,0,1161,1465,0,0,0,0,0,0,0,0,168,950,592,374,223,104,76,64,58,17,497,566,610,345,186,92,64,45,34,187,134,74,74,68,60,42,63,109,601,1401,523,653,580,391,205,124,93,42,14,1,187,320,594,530,261,135,131,157,112,199
14,14,2197,1513,1100,1483,887,613,256,194,206,6723,2266,1690,1424,1402,896,379,182,199,301,6433,1660,1794,1466,1717,1019,437,254,233,471,6121,5900,1399,575,342,264,274,192,239,301,5686,8954,1807,1949,1067,528,361,261,155,82,8,15069,103,0,0,0,0,0,0,0,0,15066,106,0,0,0,0,0,0,0,0,6231,2492,1830,1997,1150,629,416,292,124,11,4015,2445,972,427,253,194,159,194,397,6116,6228,957,1299,1514,1265,1024,892,1065,910,18,9266,991,484,470,822,1167,1004,550,260,158,93,239,284,341,385,503,817,1333,1409,9768
15,15,1476,419,331,470,442,248,104,105,82,2715,1047,879,536,426,360,134,109,107,159,2635,881,932,569,566,357,135,119,121,208,2504,1435,527,254,169,185,257,326,357,389,2493,2571,1137,1071,525,285,228,212,195,140,28,4784,1606,2,0,0,0,0,0,0,0,4822,1567,3,0,0,0,0,0,0,0,1714,1340,1167,782,455,273,231,244,147,39,971,846,868,354,172,143,126,141,187,2584,2325,490,429,303,315,373,311,299,730,817,3001,841,503,439,520,533,346,135,50,24,291,239,371,335,256,237,318,516,648,3181
16,16,5805,1706,563,243,135,105,118,126,189,963,5065,1823,796,400,318,219,156,160,278,738,3812,2264,1031,601,422,330,331,252,348,562,5935,951,509,369,320,390,349,321,248,561,5952,1151,591,454,338,323,343,354,358,89,8822,1104,24,3,0,0,0,0,0,0,8814,1103,33,3,0,0,0,0,0,0,4721,1554,959,601,475,386,380,419,412,46,6165,858,470,356,283,301,253,273,349,645,742,628,571,669,875,1238,1542,1824,1603,261,4076,1189,869,829,763,654,572,502,318,181,865,620,483,430,430,493,482,599,802,4749
17,17,2254,1258,711,290,164,82,53,42,52,441,1764,1283,673,447,299,213,120,62,92,394,1230,1230,828,487,390,289,266,166,118,343,2356,604,327,296,280,311,346,285,177,365,2160,791,491,412,344,314,322,318,187,8,3865,1388,68,22,4,0,0,0,0,0,3840,1395,86,20,6,0,0,0,0,0,1459,924,713,547,426,392,364,353,169,0,2345,667,397,325,300,259,294,244,149,367,295,198,237,369,584,797,978,1183,672,34,1231,749,636,709,640,565,442,296,76,3,363,468,384,337,323,359,389,400,576,1748
18,18,4940,2236,1100,534,383,349,347,348,596,30619,4983,2165,1070,728,556,456,413,494,1329,29258,3871,2469,1384,815,769,671,754,895,2018,27806,9200,1335,806,637,594,684,660,836,1048,25652,29188,4541,2042,1310,1008,962,810,784,574,233,40672,731,40,8,1,0,0,0,0,0,40665,730,46,9,2,0,0,0,0,0,19012,7097,4602,2893,2111,1729,1422,1368,1006,212,7478,1198,702,587,480,540,619,713,1560,27575,30088,2422,1365,1260,1419,1384,1336,1232,839,107,34378,1620,923,782,781,715,682,612,509,450,941,483,427,434,416,451,504,567,1092,36137
19,19,5682,3457,1002,190,82,79,54,61,82,779,4058,3934,1761,455,214,103,74,66,109,694,2284,4080,2517,916,418,226,161,105,145,616,3755,1724,1152,993,927,899,664,455,244,655,3652,2031,1579,1600,1188,652,375,262,122,7,4759,5704,876,118,11,0,0,0,0,0,4748,5551,1036,121,11,1,0,0,0,0,2465,2010,1974,1849,1441,882,447,283,117,0,4817,2097,1478,934,525,321,250,214,163,669,520,238,199,195,333,693,1729,3880,3373,308,2015,1497,2258,2578,1833,829,332,114,12,0,543,897,1214,1556,1345,1211,907,805,694,2296
20,20,5963,2869,750,222,93,84,64,82,60,768,4152,3839,1233,395,208,115,91,93,112,717,2692,4408,1743,611,310,169,144,117,108,653,2743,1623,1212,977,983,968,781,650,347,671,2754,2663,1857,1430,1002,627,357,179,72,14,2472,3387,984,890,757,627,1083,602,146,7,2582,3251,1046,875,737,719,1029,565,143,8,1765,2695,2691,1613,1012,618,308,179,62,12,4248,2294,1411,903,579,337,243,149,103,688,704,232,165,169,276,492,1005,2252,4036,1624,1324,2418,2956,1911,1191,627,242,113,39,134,611,1014,1293,1341,1283,1200,1079,775,736,1623
21,21,406,1783,1306,1029,1300,1625,1382,465,263,14,279,1782,1114,686,1008,1781,1981,714,227,1,293,1776,1196,1019,1628,1696,1255,540,170,0,845,1148,1166,1101,1073,1053,1276,1119,673,119,230,900,1282,1513,2017,1786,1303,504,38,0,97,2502,1585,370,120,216,839,1896,1776,172,199,2156,1910,349,111,242,824,1854,1767,161,122,765,1247,1222,1724,2054,1540,739,160,0,649,1201,1126,1268,1477,1483,1222,910,237,0,216,378,429,731,1246,1511,1641,1580,1293,548,136,728,1466,2145,2221,1625,791,251,43,167,157,177,632,987,1339,1832,1996,1318,703,432
22,22,126,1337,771,528,575,645,484,132,69,9,270,1209,651,475,565,737,476,193,97,3,233,1239,720,491,702,659,362,205,65,0,224,799,842,909,980,700,206,16,0,0,86,640,706,682,927,1038,450,131,16,0,0,2086,1568,848,153,19,2,0,0,0,0,1833,1881,805,136,20,1,0,0,0,67,568,720,580,691,844,739,357,107,3,631,974,620,578,684,673,405,85,26,0,4,99,193,360,624,725,728,808,985,150,5,360,662,894,1011,952,559,195,35,3,0,9,151,492,962,1390,1129,407,129,7
23,23,9266,3506,1213,575,461,474,420,449,737,13758,8201,3863,1680,855,687,573,505,646,1392,12457,6143,4502,2026,1179,971,846,790,1005,2013,11384,11005,1985,1214,962,874,992,1044,1128,1181,10474,18137,3963,2004,1444,1255,1115,1007,982,736,216,26143,4114,356,137,76,24,8,1,0,0,26093,4111,414,133,70,29,9,0,0,0,13329,4816,3417,2284,1844,1500,1337,1312,903,117,10550,1970,1251,911,772,754,694,903,1704,11347,12934,2397,1707,1624,1436,1583,2086,3124,3277,691,18362,2661,2353,2045,1692,1309,1008,689,446,294,1554,1347,1127,1021,916,981,941,1125,1566,20281
24,24,11644,7437,1262,637,294,164,138,85,117,1120,10956,7717,1408,773,423,196,167,138,203,1093,9024,9287,1837,804,387,224,182,151,241,1098,6065,5943,3955,2669,1650,926,438,310,294,1150,5684,9167,5203,2044,885,396,213,123,82,30,4978,18672,322,5,0,0,0,0,0,0,4865,18702,400,10,0,0,0,0,0,0,4810,8581,5877,2126,1054,555,336,194,109,20,12296,5453,2207,990,331,155,125,113,203,885,1796,421,364,264,424,619,1125,2877,11446,3898,3048,5678,7572,4093,1834,706,291,86,28,62,265,492,1238,2578,3892,4571,3904,2185,987,2958
25,25,447,736,693,525,672,628,1009,1365,2440,54633,215,375,422,380,442,501,828,1374,5195,53353,199,304,362,405,503,608,928,1915,7271,50520,7949,2192,1412,1044,1145,1380,1383,1792,2374,42258,34031,9610,5121,3866,2985,2375,1945,1580,1002,190,61500,807,63,51,27,32,11,8,1,0,61587,737,95,38,33,27,14,8,1,0,15611,9997,7895,6009,5055,4991,4405,4368,3517,921,2347,1082,825,793,789,703,1073,1836,5271,48477,58070,3887,506,169,86,50,27,26,31,77,51867,2828,1803,1573,1497,1258,922,631,240,80,32,40,48,43,68,89,228,487,1414,60255
26,26,1660,482,156,67,55,39,36,33,74,4100,1265,488,261,158,86,64,70,70,144,3790,1027,483,257,179,145,102,84,105,200,3472,1013,230,143,138,143,215,200,233,236,3179,2803,492,250,258,182,216,251,231,173,41,3677,373,51,77,44,18,1,1,0,0,3818,335,92,52,43,16,2,0,0,0,1632,964,625,389,311,251,279,361,317,67,931,343,209,209,163,150,205,208,275,4159,3181,551,73,72,71,106,186,331,561,592,3611,278,186,143,158,173,130,93,36,56,357,220,132,86,50,51,50,64,108,3779
27,27,433,51,17,0,0,0,0,0,1,0,485,122,16,0,0,1,0,0,1,0,419,286,29,4,1,0,0,1,0,0,532,159,89,47,30,9,4,0,1,0,407,474,257,91,30,11,0,0,0,0,386,1054,3,0,0,0,0,0,0,0,363,1077,4,0,0,0,0,0,0,0,257,479,297,67,14,5,3,0,0,0,316,53,14,1,4,0,1,0,0,0,4,0,5,9,10,20,60,138,313,181,23,124,204,190,135,77,28,21,4,65,85,30,62,88,104,69,70,59,50,8
28,28,3060,1160,121,42,15,14,18,3,1,0,2768,1523,153,49,23,11,17,7,1,0,1985,2394,195,57,24,14,14,5,0,0,1896,1645,865,298,75,22,5,0,0,0,993,2432,1250,286,61,12,3,0,0,0,301,4784,18,2,0,2,0,0,0,0,253,4831,19,1,1,2,0,0,0,0,686,2104,1755,322,67,23,7,0,1,0,3381,795,121,15,5,2,0,0,0,0,5,29,28,26,60,134,341,771,2645,649,199,1098,1467,899,502,333,177,62,8,61,69,88,261,510,749,884,911,585,426,69
29,29,1905,2829,895,807,541,188,66,18,4,0,2145,2609,822,672,606,248,112,36,3,0,2090,2694,956,789,437,198,67,21,1,0,1062,2078,1494,1134,810,475,167,33,0,0,789,2375,1733,1173,737,336,107,3,0,0,15,5845,1282,110,1,0,0,0,0,0,10,5664,1460,119,0,0,0,0,0,0,857,2283,1606,1005,749,474,229,49,1,0,3030,1634,984,882,498,194,29,2,0,0,147,24,62,138,243,497,822,1322,3094,904,224,1392,2236,1634,1056,505,172,30,3,1,1,40,223,596,1174,1945,1883,902,263,226
30,30,361,464,105,23,3,0,0,0,0,0,522,368,94,31,10,0,0,0,0,0,547,391,118,32,3,0,0,0,0,0,423,341,207,101,57,22,4,6,0,0,489,467,286,139,60,20,0,0,0,0,96,1335,153,14,3,0,0,0,0,0,91,1319,172,16,3,0,0,0,0,0,417,444,287,105,70,13,2,2,0,0,580,212,84,18,5,1,0,0,0,0,156,16,11,3,7,26,88,178,414,189,169,269,299,212,96,66,20,3,2,25,31,4,28,87,202,231,138,57,50,197
31,31,3602,2020,335,419,234,141,73,32,3,0,833,3982,909,527,304,149,94,54,6,0,456,4073,1516,409,212,107,52,27,6,0,50,236,440,758,837,1428,1518,1341,240,10,306,1884,1924,1397,824,376,119,20,5,0,0,1142,1472,2197,779,710,349,175,16,0,0,846,2451,1491,862,531,445,201,13,0,193,1619,2562,1326,749,253,112,29,12,0,471,1294,1686,1190,804,466,323,550,83,0,0,3,15,44,65,128,293,902,4014,1394,360,2841,2266,953,336,73,19,7,0,0,10,148,602,947,1269,1426,1379,863,195,16
32,32,7057,4504,898,337,153,70,53,30,29,1,4377,6083,1513,654,276,127,50,30,22,0,3345,6304,2068,824,365,143,51,30,2,0,1220,1666,1569,1828,1773,2007,1579,1084,381,25,2275,3991,2393,1716,1232,767,479,241,38,0,345,2988,3110,3445,1889,935,348,65,7,0,357,2652,3867,3075,1819,869,422,64,7,0,2276,3715,2996,1663,1210,723,391,148,10,0,3346,3700,2280,1416,1082,824,366,110,8,0,13,33,46,50,67,180,640,2183,6363,3557,1545,4197,3154,2096,1240,607,236,49,8,0,624,1238,1434,1505,1639,1877,1895,1686,1106,128
33,33,14367,2796,478,118,122,73,105,126,169,1838,10904,3973,1683,727,330,182,111,115,342,1705,8639,4226,1986,1101,818,481,347,237,496,1632,7531,1963,1137,1024,952,1146,1148,1371,1279,2302,7927,2753,1583,1396,1201,1189,1225,1262,869,75,9745,6314,1053,894,544,381,232,62,4,0,9878,5935,1496,759,512,352,269,66,4,0,6781,3226,2265,1600,1364,1231,1225,1231,633,53,9809,2116,1363,1086,994,816,870,805,555,1838,1435,420,250,160,264,541,1477,3349,6628,5321,6710,3503,2296,1902,1826,1536,963,521,142,66,3054,2061,1770,1487,1278,1094,1152,1102,1542,4940
34,34,3858,2176,1311,785,1134,786,1094,1246,1752,16320,2627,1750,1161,854,879,818,1204,1385,3990,15794,1813,1410,1120,844,1015,945,1283,2040,5182,14810,7990,2137,1269,1053,991,1293,1085,1297,1876,11471,14487,3699,2019,1762,1570,1386,1555,1640,1597,747,26579,3125,283,255,96,80,30,13,1,0,26702,2916,447,174,108,67,33,14,1,0,7138,4530,3180,2318,1979,2040,2118,2743,3017,1399,5091,1536,979,1001,940,789,1176,1573,3458,13919,19206,4827,1244,785,664,625,693,764,1065,589,16390,2984,1998,1596,1611,1675,1577,1222,803,606,294,446,488,457,556,796,981,1354,2523,22567
35,35,635,778,1137,3645,5644,4355,757,154,23,0,612,795,1417,3573,7412,2721,474,116,8,0,501,1300,6022,6744,1889,472,168,30,2,0,943,3493,4563,3741,2641,1311,326,86,24,0,479,6752,7049,2026,524,238,50,9,1,0,31,12558,3763,755,21,0,0,0,0,0,29,12223,4227,632,17,0,0,0,0,0,216,3422,7715,3821,1318,443,159,28,6,0,793,1733,4067,5353,3059,1639,476,7,1,0,142,184,218,429,1443,3568,5821,3936,1003,384,184,4397,6617,3687,1570,513,125,30,4,1,0,13,123,364,455,566,689,2588,10114,2216
36,36,0,0,4,80,1196,3966,2275,237,49,1,0,19,62,457,3027,3185,856,179,23,0,1,95,1717,3784,1609,440,135,23,4,0,199,496,802,1241,1422,1580,1341,643,82,2,294,3282,2354,1460,351,54,11,1,1,0,1,6693,1085,28,1,0,0,0,0,0,1,6294,1493,19,1,0,0,0,0,0,63,1008,2702,2145,1310,482,78,16,4,0,29,172,446,1418,2401,2093,991,243,15,0,34,89,154,248,505,1095,2275,2701,706,1,636,3122,2689,947,269,111,28,6,0,0,0,0,0,0,4,11,206,1388,3399,2800
37,37,0,0,8,110,3138,6239,2093,466,168,5,0,3,17,686,5147,5023,1088,236,27,0,0,16,1910,6453,2721,815,261,49,2,0,321,483,1165,2000,2729,2884,1879,644,121,1,22,2000,5605,3502,869,157,43,24,5,0,0,6010,4408,1571,227,11,0,0,0,0,0,5192,5707,1087,230,11,0,0,0,0,0,339,3071,4170,3184,1175,228,44,16,0,27,204,458,1426,3660,4199,1897,351,5,0,72,182,199,320,672,2010,4380,3874,518,0,87,2897,5612,2468,729,306,102,15,8,3,0,0,7,20,27,66,644,3517,6858,1088
38,38,1099,2261,2136,3863,4051,1947,412,78,5,0,1499,2088,2431,4227,3918,1374,272,42,1,0,1546,2394,5754,4536,1276,264,78,4,0,0,1170,1817,2553,3792,3424,1861,875,325,35,0,463,4726,6340,3093,878,251,78,22,1,0,0,13972,1373,468,39,0,0,0,0,0,0,13600,1837,363,52,0,0,0,0,0,459,3032,5178,4042,2215,679,181,63,3,0,2372,1521,3687,4194,2496,1245,308,29,0,0,24,50,90,172,367,1173,4327,6028,3088,533,164,3076,7690,3426,1053,337,90,14,2,0,0,13,94,251,573,1714,3205,5214,4086,702
39,39,0,408,789,1172,1209,1781,554,138,40,4,23,290,683,1014,1838,1676,461,94,16,0,75,430,1641,2589,1013,223,95,25,4,0,72,206,297,395,764,1398,1817,1011,135,0,9,888,2433,1692,778,234,57,4,0,0,0,780,1188,3523,492,102,6,4,0,0,0,672,2258,2516,551,85,9,4,0,0,8,609,2036,1786,1088,440,104,21,3,0,107,212,362,609,1102,1832,1682,189,0,0,3,50,50,40,132,353,1235,2990,1202,40,74,2070,2255,1217,362,94,21,2,0,0,0,0,30,121,354,497,808,1638,2279,368
40,40,0,2,675,1340,1033,1310,734,195,45,0,0,0,89,682,1753,1816,825,150,19,0,0,79,1561,1927,1289,340,107,30,1,0,38,43,40,70,161,407,962,1740,1692,181,0,874,2255,1387,591,170,50,6,1,0,0,2,46,1681,1688,1542,343,32,0,0,0,0,111,1686,1664,1302,535,36,0,0,2,1155,1722,1332,751,284,81,7,0,0,2,10,28,31,62,355,1111,2698,1037,0,0,33,42,50,77,213,646,2046,2146,81,691,2800,1384,335,100,22,2,0,0,0,0,0,1,16,51,151,467,1433,2857,358
41,41,0,0,17,250,3610,7469,3346,1286,761,3,0,12,104,536,3161,7336,4260,1141,192,0,0,64,2086,6103,5400,1929,900,256,4,0,505,493,1426,2598,3212,3923,3086,1396,100,3,21,2900,7944,3903,1451,403,78,38,4,0,0,237,2175,8617,4378,1077,223,35,0,0,0,83,3923,7371,4027,1037,267,34,0,0,9,2177,5398,4024,2805,1515,632,146,35,1,15,197,394,836,1879,4967,6088,2354,12,0,183,360,319,611,1759,3591,4277,4741,900,1,49,5551,6107,2795,1346,672,175,32,15,0,0,0,11,16,25,85,407,2891,11129,2178
42,42,0,0,0,12,834,4719,2969,2149,278,0,0,0,0,20,531,4340,5078,807,185,0,0,0,120,2097,5420,2592,538,182,12,0,27,457,1659,2392,2508,2289,1223,383,23,0,1,1781,5845,2168,771,285,69,38,3,0,0,817,3320,5525,921,321,29,28,0,0,0,359,6028,3241,991,275,37,30,0,0,0,1859,4446,2229,1125,618,430,204,50,0,0,4,89,209,628,1969,4240,3757,65,0,2,59,183,879,2430,3631,2788,943,46,0,38,2596,4804,2420,767,229,60,17,29,1,0,0,14,21,6,7,58,1041,7628,2186
