census_code,predictions_2001,predictions_2003,predictions_2005,predictions_2007,predictions_2009,predictions_2011
218,1,1,1,1,2,1
328,1,1,2,2,2,1
162,1,1,1,1,1,1
94,3,3,3,3,3,3
566,1,1,1,1,1,1
527,1,1,1,1,1,1
169,1,2,1,1,1,1
287,2,2,2,2,2,2
615,1,1,1,1,1,3
406,1,1,1,1,1,1
73,1,1,1,1,1,1
637,1,3,3,3,3,3
480,1,1,1,1,1,1
141,2,1,3,1,1,1
621,1,1,1,1,1,2
241,2,1,3,3,3,1
276,2,2,2,2,2,2
273,2,2,2,2,2,2
420,1,1,1,1,1,1
223,1,2,1,2,2,2
368,1,1,1,1,1,1
524,1,1,2,1,1,2
395,1,1,1,1,1,1
502,1,1,2,1,1,1
594,3,3,3,3,3,3
392,1,1,1,1,1,1
599,3,2,1,1,1,1
170,1,1,1,1,2,1
7,1,2,2,2,2,2
550,1,2,1,1,1,1
150,2,1,3,3,3,3
16,1,2,2,2,1,2
610,1,1,1,1,1,1
521,3,1,1,1,1,1
508,1,1,1,1,1,1
75,2,2,2,1,1,1
68,2,1,2,2,2,2
442,1,1,1,1,1,1
152,1,2,1,1,1,1
224,1,1,1,3,1,1
249,2,2,1,2,2,2
112,1,1,1,1,1,1
312,2,2,2,1,2,2
20,1,2,2,2,2,2
199,1,1,1,2,2,1
309,2,2,2,2,2,2
405,1,1,1,1,1,1
33,1,1,2,3,1,3
467,1,1,1,1,1,1
479,1,1,1,1,1,1
266,2,2,2,2,2,2
613,1,1,1,1,1,1
267,2,1,2,2,2,2
144,1,1,1,1,2,1
288,2,2,2,2,2,2
123,1,1,1,1,1,1
325,2,2,2,2,2,2
107,1,1,1,1,1,1
104,3,2,1,1,1,1
301,2,1,2,2,2,2
136,2,1,1,1,2,1
468,1,1,1,1,1,1
87,1,1,1,1,1,1
557,1,1,1,1,1,1
557,1,1,1,1,1,1
388,1,1,1,1,1,1
363,1,1,1,1,1,1
43,2,1,1,2,1,1
37,2,2,2,2,1,2
134,2,1,1,1,2,1
86,1,1,1,1,1,1
228,1,1,3,2,1,3
291,2,2,2,2,2,2
398,1,1,1,1,1,1
283,2,2,2,2,2,2
530,1,1,1,1,1,1
554,1,1,1,1,1,1
344,1,1,1,1,1,1
412,1,1,1,1,1,1
543,1,1,1,1,1,1
342,3,3,3,3,3,3
44,2,1,1,1,2,1
320,2,2,2,2,2,2
34,1,1,1,1,1,1
142,1,1,1,1,2,1
459,1,1,1,1,1,1
488,2,1,1,1,1,1
310,2,2,2,2,2,2
428,1,1,1,1,1,1
114,1,1,1,1,1,1
378,1,1,1,1,1,1
154,1,1,1,1,1,1
272,2,2,2,2,2,2
148,1,1,1,1,1,1
410,1,1,1,1,1,1
284,2,2,2,2,2,2
341,2,2,2,2,2,2
384,1,1,1,1,1,1
198,1,1,1,1,1,2
48,2,1,1,2,1,2
338,2,2,1,2,1,2
132,2,1,1,1,1,2
544,1,1,1,1,1,1
526,1,1,1,1,1,1
593,3,3,2,2,3,3
355,1,1,1,1,1,2
264,2,1,2,2,2,2
572,3,2,1,1,1,1
449,1,1,1,1,1,1
317,2,2,2,2,2,2
31,1,2,2,2,2,2
232,1,1,1,1,2,1
207,1,1,1,2,1,1
290,2,2,2,2,2,2
374,1,1,1,1,1,1
545,1,1,1,1,1,1
608,1,1,1,1,1,3
179,1,1,1,1,2,1
376,1,1,2,1,1,1
336,2,2,2,2,1,1
636,3,3,3,3,3,3
424,1,1,1,1,1,1
385,1,1,1,1,1,2
377,1,1,1,1,1,1
483,1,1,1,1,1,1
561,1,1,1,1,1,1
411,1,1,1,1,1,1
391,1,1,1,1,1,2
250,2,2,1,1,1,2
353,1,1,1,1,1,2
303,2,1,2,2,2,2
192,1,1,1,1,1,1
88,2,2,2,2,2,2
327,2,2,2,2,2,2
318,2,2,2,2,2,2
234,1,1,1,1,2,1
466,1,1,1,1,1,1
366,1,1,1,1,1,1
340,1,2,2,2,2,2
205,1,2,3,2,3,3
386,1,1,2,1,2,2
268,2,3,2,2,2,2
308,1,2,2,2,2,1
230,2,1,1,1,2,1
1,2,2,2,2,1,2
155,1,1,1,1,1,1
447,1,1,1,1,1,1
143,1,1,1,1,2,2
161,1,1,1,1,1,1
592,3,3,2,3,3,3
577,1,1,1,1,1,1
436,1,1,1,1,1,1
549,1,1,1,1,1,1
40,2,2,2,2,1,2
167,1,1,1,1,1,1
243,2,3,3,3,3,3
32,1,1,1,1,1,1
226,1,2,1,1,1,1
489,1,1,1,1,1,1
380,1,1,1,3,1,1
417,1,1,1,3,1,1
126,1,1,1,1,1,1
95,3,3,3,3,3,3
330,1,1,1,1,1,1
77,1,1,2,1,1,1
333,1,1,1,1,1,1
151,1,2,2,1,2,1
18,1,2,2,2,1,1
382,1,1,1,1,1,1
595,3,3,3,3,3,3
193,1,1,1,1,1,1
520,1,1,1,1,1,1
174,1,1,1,1,1,1
323,2,2,2,2,2,2
173,1,1,1,1,1,1
204,1,1,1,1,1,1
354,1,1,1,1,1,1
140,2,1,1,2,2,1
584,2,2,1,1,1,1
25,2,1,1,1,1,1
562,1,1,1,1,1,1
61,1,2,2,2,2,1
10,2,2,2,2,1,1
240,1,1,1,1,1,1
402,1,1,1,1,1,1
13,2,2,2,2,1,2
84,1,1,1,1,1,1
42,2,2,2,1,1,2
149,1,1,1,1,1,1
500,1,1,1,1,1,1
78,2,2,2,1,1,2
255,2,2,2,2,1,2
184,1,2,1,1,1,1
558,1,1,1,1,1,1
397,1,1,1,1,1,1
4,2,2,2,2,2,2
41,2,2,2,2,2,1
435,1,1,1,1,1,1
265,2,2,2,2,2,2
294,2,2,2,2,2,2
401,1,1,1,1,1,1
473,1,1,1,1,1,1
533,1,1,1,1,2,1
125,1,1,1,1,1,1
96,3,3,3,3,3,3
28,1,3,2,2,2,2
14,2,2,2,1,2,2
271,2,2,2,2,2,2
587,3,3,3,3,3,3
570,2,2,2,2,1,2
304,2,1,2,2,2,2
254,2,2,2,2,2,2
115,1,1,1,1,1,1
443,1,1,1,2,1,2
551,1,1,1,1,1,1
298,2,2,2,2,2,2
564,1,1,1,1,1,1
146,1,1,1,1,1,1
351,1,1,1,1,1,2
98,3,3,3,3,3,3
138,2,1,1,1,1,1
605,1,1,1,1,1,1
364,1,1,1,1,1,1
322,2,1,2,2,2,2
439,2,1,1,1,1,2
117,1,1,1,1,1,1
175,1,1,1,1,2,1
160,1,1,1,1,1,1
2,2,2,2,2,1,2
332,1,1,1,1,1,1
517,3,1,1,1,1,1
504,1,1,1,1,1,1
279,2,2,2,2,2,2
345,1,2,2,2,2,1
59,1,2,1,1,2,1
465,1,1,1,1,1,1
404,1,1,1,1,1,1
282,2,2,2,2,2,2
99,2,2,1,1,1,1
242,2,3,3,3,3,1
623,1,1,1,1,1,2
275,2,2,2,2,2,2
387,1,1,1,2,2,1
519,1,1,3,3,1,1
492,3,1,1,1,3,3
137,2,1,1,2,2,1
614,1,1,1,1,1,2
30,1,3,2,2,2,3
196,1,1,1,1,1,2
414,1,1,1,1,1,1
512,1,1,1,2,1,2
495,1,3,3,3,3,1
609,1,2,2,1,1,3
409,1,1,1,1,1,1
63,1,1,3,3,3,1
510,1,1,1,1,1,1
357,1,2,2,2,2,1
64,1,1,2,2,1,1
182,1,1,2,1,1,1
70,2,2,1,2,1,2
122,1,1,1,1,1,1
462,1,1,1,1,1,1
65,1,2,2,2,2,2
403,1,1,1,1,1,1
472,1,1,1,1,1,1
292,2,2,2,2,2,2
372,1,1,1,1,1,1
60,2,2,2,2,2,1
611,1,2,2,2,2,2
62,1,1,1,2,1,1
532,1,1,1,1,1,1
238,1,1,1,1,1,1
186,1,2,2,1,2,2
454,1,1,1,1,1,1
568,2,2,2,2,1,1
302,2,1,2,2,2,2
361,1,2,2,2,1,2
111,1,1,1,1,1,1
375,1,1,1,1,1,1
274,2,2,2,2,2,2
626,1,1,1,1,1,1
156,1,1,1,1,1,1
197,2,1,2,1,1,1
206,1,2,1,1,2,1
97,3,3,3,3,3,3
50,2,2,2,1,1,2
246,2,3,1,1,3,2
399,1,1,1,1,1,1
531,1,1,1,1,1,1
324,2,1,2,2,1,2
177,1,1,1,1,1,1
630,1,1,1,1,1,2
464,1,1,1,1,1,1
306,2,2,2,2,2,2
548,1,2,1,1,1,1
509,1,1,1,1,1,1
90,2,2,2,3,3,3
379,1,1,1,1,1,1
575,3,3,3,3,3,3
601,3,3,3,3,3,2
529,1,1,1,1,1,2
45,2,2,2,2,1,1
633,1,1,1,1,1,1
622,1,1,1,1,1,1
29,1,1,2,2,2,2
635,3,3,3,3,3,3
181,1,1,2,1,1,2
209,1,2,1,2,1,2
316,2,2,2,2,2,2
72,2,1,1,1,1,1
579,1,1,1,1,1,1
477,1,1,3,1,1,1
36,2,2,1,1,1,2
356,1,1,1,1,1,1
523,1,1,1,1,1,1
113,1,1,1,1,1,1
620,1,2,1,2,1,2
314,2,1,2,2,2,1
349,1,1,1,1,1,1
415,1,1,2,1,1,1
38,1,2,1,1,2,2
157,2,2,1,1,2,1
431,1,1,1,1,1,1
434,1,3,1,1,1,1
108,1,1,1,1,1,1
631,1,1,1,1,1,1
437,1,1,1,1,1,1
452,1,1,1,1,1,1
560,1,1,1,1,1,1
505,2,1,1,1,1,1
448,3,1,1,1,1,1
105,1,1,1,1,1,1
539,1,1,1,1,1,1
413,1,1,1,1,1,1
360,1,1,1,1,1,1
200,1,1,1,1,1,2
408,1,1,1,1,1,1
67,2,2,2,2,2,2
221,1,1,1,2,2,1
110,2,1,1,1,1,1
498,1,1,1,1,1,1
220,1,2,1,1,2,1
463,1,1,1,1,1,1
591,3,3,3,3,3,3
396,1,1,1,1,1,1
239,1,1,1,1,1,1
93,3,3,3,3,3,3
370,1,1,1,1,1,1
118,1,1,1,1,1,1
343,1,2,2,1,1,1
604,1,2,1,1,1,1
83,1,1,1,1,1,1
496,1,1,1,1,1,1
617,1,2,1,1,1,1
212,1,2,1,1,1,1
347,1,1,1,1,1,1
236,1,1,1,1,1,1
216,1,1,1,1,2,1
201,1,1,1,1,1,1
373,1,2,1,1,1,2
121,1,1,1,1,1,1
430,1,1,1,1,1,1
597,3,2,3,3,3,3
9,2,2,2,1,2,1
58,1,2,2,2,3,2
280,2,2,2,2,2,2
210,1,1,1,1,2,1
129,1,3,1,1,1,1
82,2,1,2,1,1,1
499,1,1,1,1,1,1
102,1,1,1,1,1,1
429,1,1,1,1,1,1
219,1,1,1,1,1,1
433,1,1,1,1,1,1
585,2,2,2,2,3,3
171,1,1,1,1,1,1
607,1,2,1,1,1,2
565,1,1,1,1,1,1
348,1,1,1,1,1,1
552,1,1,1,1,1,1
106,1,1,1,1,2,1
109,1,1,1,1,1,1
423,1,1,1,1,1,1
334,1,1,1,1,1,1
289,2,2,2,2,2,2
456,1,1,1,1,1,1
535,1,1,1,1,1,1
627,1,3,1,3,2,1
389,1,2,1,1,1,1
359,1,1,1,1,1,1
329,1,1,1,1,1,1
168,1,1,1,1,2,1
12,2,2,2,2,2,2
185,1,1,1,1,1,1
211,1,1,1,1,1,1
346,1,1,1,1,1,1
92,2,3,3,3,3,3
188,1,1,1,1,1,1
