census_code,predictions_2001,predictions_2003,predictions_2005,predictions_2007,predictions_2009,predictions_2011
218,1,1,1,1,1,1
328,1,1,1,1,1,1
162,1,1,1,1,1,1
94,3,3,3,3,3,3
566,1,1,1,1,1,1
527,1,1,1,1,1,1
169,1,1,1,1,1,1
287,1,1,1,2,1,1
615,1,1,1,1,3,2
406,1,1,1,1,1,1
73,2,1,1,1,1,1
637,2,3,2,2,2,2
480,1,2,2,1,1,1
141,2,1,1,1,1,1
621,1,1,1,1,1,2
241,1,1,2,2,2,1
276,1,1,1,1,1,1
273,1,1,1,1,1,1
420,1,1,1,1,1,1
223,1,1,1,1,1,1
368,1,1,1,1,1,1
524,1,1,1,1,1,1
395,1,1,1,1,1,1
502,1,1,1,1,1,1
594,2,2,2,1,2,2
392,1,1,1,1,1,1
599,2,1,1,1,1,1
170,1,1,1,1,1,1
7,1,2,2,1,1,2
550,1,1,1,1,1,1
150,1,1,3,3,3,3
16,1,1,1,1,1,1
610,1,1,1,1,1,1
521,2,1,1,1,1,1
508,1,1,1,1,1,1
75,2,2,2,2,1,1
68,2,2,1,2,3,1
442,1,1,1,1,1,1
152,1,1,1,1,1,1
224,1,1,1,1,1,1
249,1,1,1,1,1,1
112,1,1,1,1,1,1
312,1,1,1,1,1,2
20,1,1,1,1,1,1
199,1,1,1,2,2,2
309,1,2,1,1,1,2
405,1,1,1,1,1,1
33,2,1,1,1,1,2
467,1,1,1,1,1,1
479,2,2,1,1,1,1
266,1,1,1,2,1,1
613,1,1,1,1,1,1
267,1,1,1,1,1,1
144,1,1,1,1,2,1
288,1,1,1,1,1,1
123,1,1,1,1,1,1
325,1,1,1,1,1,1
107,1,1,1,1,1,1
104,2,2,1,1,1,1
301,1,1,1,1,1,1
136,1,1,1,1,1,1
468,2,2,2,2,2,2
87,1,1,1,1,1,1
557,1,1,1,1,1,2
557,1,1,1,1,1,2
388,1,1,1,1,1,1
363,1,1,1,1,1,1
43,2,1,1,1,1,1
37,3,2,1,1,1,2
134,1,1,1,1,1,1
86,2,2,1,2,2,1
228,1,3,3,3,3,3
291,1,1,1,1,1,1
398,1,1,1,1,1,1
283,1,1,1,1,1,1
530,2,1,2,2,2,1
554,1,1,1,1,1,1
344,1,1,1,1,1,1
412,1,1,1,2,1,1
543,1,2,1,1,1,1
342,2,2,2,2,3,3
44,2,1,2,1,1,1
320,1,1,1,1,1,1
34,2,2,2,2,2,2
142,1,1,1,1,2,1
459,1,2,1,1,1,1
488,1,1,1,2,1,1
310,1,2,1,1,1,2
428,1,1,1,1,1,1
114,1,1,1,1,1,1
378,1,1,1,1,1,1
154,1,1,1,1,1,1
272,1,1,1,1,1,1
148,1,1,1,1,1,1
410,1,1,1,1,1,1
284,1,1,1,1,1,1
341,1,2,1,1,1,1
384,1,1,1,1,1,1
198,1,1,1,1,2,2
48,3,1,1,1,1,1
338,1,1,1,1,1,1
132,1,1,1,1,1,1
544,1,1,1,1,1,1
526,1,1,1,1,1,1
593,1,1,2,1,1,1
355,1,1,1,1,1,1
264,1,1,1,1,1,1
572,3,1,1,1,1,1
449,1,1,1,1,1,1
317,1,1,1,1,1,1
31,2,2,2,1,3,2
232,1,1,1,1,2,1
207,1,1,1,1,1,1
290,1,1,1,1,1,1
374,1,1,1,1,1,1
545,1,1,1,1,1,1
608,1,2,1,1,1,1
179,1,1,1,1,1,1
376,1,1,1,1,1,1
336,1,1,1,1,1,1
636,2,2,2,2,2,2
424,1,1,1,1,1,1
385,1,1,1,2,1,2
377,1,1,1,1,1,1
483,1,2,1,1,1,1
561,1,1,1,1,1,1
411,1,1,1,1,1,1
391,1,1,1,2,1,2
250,1,1,1,1,1,1
353,1,1,1,1,1,1
303,1,1,1,1,1,1
192,1,1,1,1,1,1
88,2,1,1,1,1,1
327,1,1,3,3,1,1
318,1,1,1,1,1,1
234,1,1,1,1,2,1
466,1,1,1,1,2,1
366,1,1,1,1,1,1
340,1,1,1,1,1,1
205,1,3,3,3,3,3
386,2,1,1,1,1,2
268,1,2,2,2,2,2
308,1,1,1,1,2,1
230,1,1,1,1,1,1
1,1,1,1,1,1,1
155,1,1,1,1,1,1
447,1,1,1,1,1,1
143,1,1,1,1,1,1
161,1,1,1,1,1,1
592,1,2,1,1,2,2
577,1,1,1,1,1,2
436,1,1,1,1,1,1
549,1,1,1,1,1,1
40,3,1,1,1,3,2
167,1,1,1,1,1,1
243,1,2,2,2,2,1
32,1,1,1,1,1,1
226,1,1,1,1,1,1
489,1,1,1,1,1,1
380,1,1,1,1,1,1
417,1,1,1,1,1,1
126,1,1,1,1,1,1
95,3,3,3,3,3,3
330,1,1,1,1,1,1
77,2,1,2,1,1,1
333,1,1,1,1,1,1
151,1,1,1,1,1,1
18,1,1,2,2,2,2
382,1,1,2,1,1,2
595,2,2,1,1,2,2
193,1,1,1,1,1,1
520,1,2,1,1,1,1
174,1,1,1,1,1,1
323,1,1,1,1,1,1
173,1,1,1,1,1,1
204,1,1,1,1,1,1
354,1,1,1,1,1,1
140,2,1,1,1,1,1
584,1,2,2,2,1,1
25,1,1,1,1,1,1
562,2,1,1,1,1,1
61,1,1,1,1,3,1
10,2,2,1,1,1,1
240,1,1,2,1,2,1
402,1,1,1,1,1,1
13,2,2,1,2,1,2
84,1,2,1,1,1,1
42,2,2,1,1,2,2
149,1,1,1,1,1,1
500,1,1,1,1,1,1
78,1,1,2,1,1,2
255,1,1,1,2,1,1
184,1,1,1,1,1,1
558,1,1,1,1,1,1
397,1,1,1,1,1,1
4,1,1,1,1,1,1
41,3,1,1,1,1,1
435,2,1,1,1,2,1
265,1,1,1,1,1,3
294,1,1,1,1,1,1
401,1,1,1,1,1,1
473,2,2,2,2,2,2
533,1,1,1,1,1,1
125,1,2,1,1,1,1
96,3,3,3,3,3,3
28,2,2,2,2,2,2
14,1,1,1,1,1,1
271,1,1,1,1,1,1
587,2,2,2,2,2,2
570,1,1,1,1,1,1
304,1,1,1,1,1,1
254,1,1,1,1,1,1
115,1,1,1,1,1,1
443,1,1,1,1,1,1
551,1,1,1,1,1,1
298,1,1,1,1,1,1
564,1,1,1,1,1,1
146,2,1,1,1,1,1
351,1,1,1,1,1,1
98,3,3,3,3,3,3
138,2,1,1,1,1,1
605,1,1,2,1,1,1
364,1,1,1,1,1,1
322,1,1,1,1,3,3
439,3,1,3,1,2,2
117,1,1,1,1,1,1
175,1,1,1,1,1,1
160,1,1,1,1,1,1
2,1,1,1,1,1,1
332,1,1,1,1,1,1
517,2,2,2,1,2,1
504,1,1,1,1,1,1
279,1,1,1,1,1,1
345,1,1,1,1,1,1
59,1,1,1,2,1,1
465,1,1,1,1,1,1
404,1,1,1,1,1,2
282,1,1,1,1,1,2
99,2,2,1,2,1,1
242,1,2,2,2,2,1
623,2,2,2,2,1,2
275,1,1,1,3,1,1
387,1,1,1,1,1,1
519,3,3,3,2,3,3
492,2,2,1,2,2,1
137,1,1,1,1,2,1
614,2,2,1,1,1,1
30,2,3,2,2,2,3
196,1,1,1,1,1,1
414,1,1,1,1,1,1
512,1,1,1,1,1,1
495,2,3,2,2,2,2
609,1,2,2,1,1,2
409,1,1,1,1,1,1
63,1,1,2,2,2,1
510,1,2,1,2,1,1
357,1,1,2,2,2,2
64,1,1,1,1,1,1
182,1,1,1,1,1,1
70,3,1,1,1,1,2
122,1,1,1,1,1,1
462,1,1,1,1,1,1
65,1,1,1,1,1,1
403,1,1,1,1,1,1
472,1,1,1,1,1,1
292,1,1,1,1,1,2
372,1,1,1,1,1,1
60,3,2,2,2,3,2
611,1,1,1,1,1,1
62,1,1,1,1,1,1
532,1,1,1,1,1,1
238,1,1,1,1,1,1
186,1,1,1,1,1,1
454,1,1,1,1,1,1
568,2,2,1,1,1,1
302,1,1,1,1,1,1
361,1,1,1,3,1,1
111,1,1,1,1,1,1
375,1,1,1,1,1,1
274,1,1,1,1,1,1
626,1,2,1,1,1,1
156,1,1,1,1,1,1
197,2,1,1,1,1,1
206,1,1,1,1,1,1
97,3,2,3,2,3,3
50,3,2,1,1,1,2
246,1,2,1,1,2,1
399,1,1,1,1,1,1
531,1,1,1,1,1,1
324,1,1,1,1,1,1
177,1,1,1,1,1,1
630,1,1,2,1,1,2
464,1,2,1,1,1,1
306,1,1,1,2,1,2
548,1,2,1,1,1,1
509,1,1,1,1,1,1
90,3,3,3,3,3,3
379,1,1,1,1,1,1
575,2,1,1,1,1,1
601,2,2,1,2,2,1
529,1,1,1,1,1,1
45,2,2,2,1,2,2
633,1,1,1,1,1,1
622,1,1,2,1,1,2
29,2,2,2,2,3,2
635,2,2,3,2,2,2
181,1,2,1,1,1,1
209,1,1,1,1,1,1
316,1,1,1,1,1,2
72,3,1,1,1,3,2
579,1,1,1,1,1,1
477,2,2,2,2,2,2
36,3,2,2,1,1,1
356,1,1,1,1,1,1
523,1,1,1,1,1,1
113,1,1,1,1,1,1
620,1,2,2,2,1,2
314,1,1,1,1,1,1
349,1,1,1,1,1,1
415,1,1,1,1,1,1
38,3,2,1,2,1,2
157,2,2,1,1,1,1
431,1,1,1,1,1,1
434,1,1,1,1,2,2
108,1,1,1,1,1,1
631,1,1,1,1,1,1
437,1,1,1,1,1,1
452,1,2,2,1,1,1
560,1,1,1,1,1,1
