census_code,predictions_2001,predictions_2003,predictions_2005,predictions_2007,predictions_2009,predictions_2011
218,2,3,2,2,2,2
328,1,2,1,1,2,1
162,2,2,2,3,2,3
94,3,3,3,3,3,3
566,3,3,3,3,3,3
527,3,3,3,3,3,3
169,1,2,2,1,2,2
287,1,1,1,1,1,1
615,3,3,3,3,3,3
406,2,1,2,1,1,1
73,2,2,2,2,2,2
637,3,3,3,3,1,3
480,3,3,3,3,3,3
141,2,3,3,3,3,3
621,3,3,3,3,3,3
241,1,3,1,1,1,3
276,1,1,1,2,1,1
273,1,3,1,1,1,3
420,1,1,3,3,1,2
223,2,2,2,2,2,2
368,1,1,1,1,1,1
524,3,3,1,1,3,2
395,2,1,1,1,1,1
502,1,2,2,2,2,2
594,1,1,1,1,1,1
392,2,1,1,1,1,2
599,1,1,3,3,3,3
170,2,2,2,2,2,2
7,3,3,2,3,3,3
550,3,3,3,3,3,3
150,2,2,3,3,3,3
16,3,3,3,3,3,3
610,3,3,3,3,3,3
521,1,3,2,3,2,2
508,1,2,1,1,1,1
75,2,2,2,2,2,2
68,2,3,2,2,3,2
442,2,2,2,3,3,2
152,2,2,3,3,3,2
224,2,3,3,3,3,3
249,3,3,2,2,2,2
112,1,1,1,1,1,1
312,1,2,1,2,2,3
20,1,1,1,3,3,3
199,2,2,2,3,3,3
309,2,1,3,1,1,1
405,2,1,1,1,1,2
33,3,3,3,3,3,1
467,2,3,3,3,3,3
479,3,3,3,3,3,3
266,3,3,3,1,1,3
613,3,3,3,3,3,3
267,3,2,3,1,3,3
144,2,3,3,3,2,3
288,1,3,3,1,1,1
123,2,2,1,3,2,3
325,2,2,2,2,2,2
107,1,3,1,1,3,1
104,1,3,2,2,3,2
301,2,3,2,2,2,1
136,2,2,2,2,2,2
468,3,3,3,3,3,3
87,3,3,2,2,2,2
557,2,3,3,3,3,3
557,2,3,3,3,3,3
388,2,1,1,1,1,2
363,3,3,3,3,3,1
43,2,2,2,2,2,2
37,2,2,2,2,2,2
134,2,2,2,2,2,2
86,3,3,3,3,2,3
228,2,2,3,2,2,2
291,1,1,1,1,1,1
398,2,1,3,3,3,3
283,1,3,3,1,1,1
530,3,3,3,1,1,1
554,3,3,3,3,3,3
344,2,3,3,3,3,3
412,2,1,1,1,1,1
543,1,1,3,3,1,3
342,3,3,3,3,3,3
44,2,2,2,2,2,2
320,1,3,2,1,2,3
34,3,3,3,3,3,3
142,2,2,2,2,2,2
459,2,3,2,2,3,2
488,3,3,2,3,3,3
310,2,3,1,1,1,3
428,1,1,1,1,1,1
114,1,1,1,1,1,1
378,2,3,3,3,3,3
154,2,2,2,2,2,2
272,1,1,3,1,1,3
148,2,2,3,2,2,3
410,2,3,1,1,3,3
284,1,1,1,1,1,1
341,2,2,2,2,2,2
384,1,1,1,1,1,1
198,2,2,2,2,2,2
48,2,2,2,2,2,2
338,2,2,2,2,2,2
132,2,3,3,3,3,3
544,1,1,1,1,1,1
526,3,3,3,3,3,3
593,1,1,1,1,1,1
355,1,2,1,1,1,2
264,1,2,1,1,1,1
572,3,3,3,3,3,3
449,2,2,2,3,3,2
317,1,1,1,2,1,1
31,3,3,3,3,3,3
232,2,2,2,2,2,2
207,2,3,2,2,2,2
290,1,1,1,1,1,2
374,2,1,1,1,1,1
545,1,2,1,1,1,1
608,3,3,1,3,3,3
179,2,2,2,2,2,2
376,1,2,2,2,2,2
336,2,2,2,2,2,2
636,1,1,1,1,1,1
424,1,3,1,1,3,2
385,1,1,1,1,1,1
377,2,1,2,3,3,3
483,3,3,3,3,3,3
561,3,3,3,3,3,3
411,2,1,1,1,1,1
391,2,1,1,1,1,1
250,3,3,3,3,3,3
353,2,2,2,2,2,2
303,2,3,2,2,2,2
192,2,3,2,2,2,2
88,3,3,3,3,3,3
327,1,1,2,3,2,1
318,1,1,1,2,1,1
234,2,2,2,2,3,2
466,3,3,3,3,3,3
366,1,1,1,1,3,1
340,1,3,3,3,3,3
205,2,2,3,2,3,3
386,1,2,1,1,2,1
268,1,3,1,3,3,3
308,2,2,1,2,3,3
230,2,2,2,2,2,2
1,1,1,3,3,3,3
155,2,2,3,2,2,2
447,2,3,3,3,3,3
143,2,2,3,3,3,3
161,2,2,2,2,2,2
592,1,1,1,1,1,1
577,3,3,3,3,3,3
436,2,2,2,2,3,2
549,2,3,3,3,3,3
40,2,2,2,2,2,2
167,1,3,1,1,3,2
243,3,1,1,1,1,3
32,3,1,1,1,2,3
226,1,2,2,2,2,2
489,2,2,3,3,1,3
380,2,2,2,2,2,2
417,2,1,3,3,3,3
126,2,2,3,3,2,3
95,3,3,3,3,3,3
330,2,3,2,2,2,2
77,2,2,2,2,2,2
333,2,2,2,2,2,2
151,2,2,2,2,2,2
18,3,3,3,3,3,3
382,1,1,1,1,1,1
595,1,1,1,1,1,1
193,2,3,2,2,2,2
520,3,3,2,2,2,2
174,2,2,2,2,2,2
323,2,2,2,2,2,2
173,2,2,2,2,2,2
204,2,2,2,2,2,2
354,1,1,2,1,1,2
140,2,3,3,3,3,3
584,3,2,2,2,2,2
25,3,3,3,3,3,3
562,3,3,3,3,3,3
61,3,3,3,3,1,3
10,3,3,3,3,3,3
240,2,2,3,2,3,2
402,1,1,1,1,3,1
13,3,3,3,3,3,3
84,3,3,3,3,3,2
42,2,2,2,2,2,2
149,2,2,3,3,3,3
500,3,3,3,3,3,3
78,2,2,2,2,2,2
255,3,1,3,1,3,3
184,2,2,2,2,2,2
558,3,1,1,1,3,1
397,2,3,1,1,1,1
4,1,1,1,1,1,1
41,2,2,2,2,2,2
435,2,2,2,3,3,2
265,1,1,1,2,1,3
294,1,1,1,1,1,1
401,1,3,1,3,3,3
473,3,3,3,3,3,3
533,3,3,3,3,3,3
125,2,3,3,3,3,3
96,3,3,3,3,3,3
28,3,3,3,3,3,3
14,1,1,1,3,3,1
271,1,1,1,1,1,1
587,1,1,1,1,1,1
570,3,3,3,3,1,3
304,2,3,2,2,2,2
254,3,1,3,1,3,3
115,1,1,1,1,1,1
443,2,2,2,2,2,2
551,3,3,3,3,3,3
298,3,3,3,3,3,3
564,3,3,3,3,3,3
146,2,2,2,2,2,2
351,1,2,2,2,1,2
98,3,3,3,3,3,3
138,2,3,3,3,3,3
605,3,3,3,3,3,3
364,1,1,1,1,1,1
322,1,3,1,1,2,3
439,3,3,2,3,3,3
117,2,3,1,3,2,3
175,1,2,2,2,3,3
160,2,2,3,2,2,3
2,3,3,3,3,3,3
332,2,2,2,2,2,2
517,3,3,3,3,3,3
504,3,2,1,2,2,2
279,1,1,1,1,1,3
345,2,2,2,2,2,2
59,3,3,3,3,3,3
465,2,2,3,3,2,2
404,1,1,1,1,1,1
282,1,1,1,1,1,1
99,3,3,3,3,3,3
242,3,1,1,1,1,3
623,3,3,1,3,3,3
275,1,1,1,1,1,1
387,2,2,2,2,2,2
519,3,3,3,3,3,3
492,3,3,3,3,3,3
137,2,2,2,2,2,2
614,3,3,3,3,3,1
30,3,3,3,3,3,3
196,2,2,2,2,2,2
414,2,1,1,1,1,1
512,2,3,3,3,3,3
495,3,3,3,3,3,3
609,3,1,3,3,3,3
409,2,2,1,1,2,1
63,3,3,1,1,1,3
510,1,3,2,2,2,3
357,1,2,2,2,2,2
64,3,3,3,3,3,3
182,2,2,2,2,2,2
70,3,2,2,2,3,2
122,2,1,3,3,3,3
462,1,1,1,1,1,1
65,3,3,1,1,3,3
403,2,2,1,1,1,1
472,3,3,3,3,3,3
292,1,1,1,1,1,1
372,2,1,1,1,1,1
60,3,3,3,3,3,3
611,3,3,3,1,3,3
62,3,3,3,3,3,3
532,1,3,3,3,3,1
238,1,1,2,1,1,2
186,2,2,2,2,2,2
454,1,1,1,1,1,1
568,3,1,1,1,1,1
302,1,3,2,1,2,1
361,1,1,2,1,1,2
111,3,1,1,1,1,1
375,1,1,1,1,1,1
274,1,3,1,1,1,1
626,1,3,3,1,3,2
156,2,2,2,3,2,2
197,2,2,2,2,2,2
206,2,2,2,2,2,2
97,3,3,3,3,3,3
50,2,2,2,2,2,2
246,3,3,3,3,3,3
399,2,3,3,3,3,3
531,3,3,3,3,3,3
324,1,2,2,1,2,1
177,2,2,2,2,2,2
630,3,3,3,3,1,3
464,2,2,2,2,3,3
306,1,2,2,2,2,3
548,2,1,3,3,3,3
509,1,2,1,2,2,1
90,3,3,3,3,3,3
379,2,2,1,2,1,2
575,1,1,1,1,1,1
601,1,1,1,1,1,1
529,1,1,1,1,1,1
45,2,2,2,2,2,2
633,2,1,3,3,3,3
622,3,3,1,3,3,3
29,3,3,2,3,3,3
635,3,3,3,3,1,3
181,2,2,2,2,2,2
209,2,3,2,2,2,2
