census_code,predictions_2011,predictions_2013,predictions_2015,predictions_2017,predictions_2019
68,3,2,1,1,1
442,1,1,1,1,1
152,2,1,1,2,2
224,2,2,2,2,1
249,1,1,1,1,1
112,1,1,2,1,2
312,1,1,1,1,1
20,1,1,1,1,1
199,2,2,2,2,2
309,1,1,1,1,1
405,1,1,1,2,1
33,3,1,1,1,1
467,1,1,1,1,1
479,1,1,1,1,1
266,1,1,1,1,1
613,3,1,1,1,1
267,1,1,1,1,1
144,2,2,2,3,3
288,3,1,1,1,3
123,1,1,1,1,1
325,1,2,1,1,1
107,2,1,1,1,1
104,2,1,3,1,3
301,1,2,1,1,1
136,2,2,3,2,3
468,1,1,1,1,1
87,2,3,3,2,3
557,1,1,1,3,1
388,1,1,1,1,1
363,2,2,2,3,2
43,3,1,3,3,1
37,3,3,2,3,3
134,1,1,1,1,1
86,3,2,3,2,3
228,2,2,3,2,2
291,1,1,1,1,1
398,1,1,1,1,1
283,3,1,1,1,1
530,3,1,1,1,1
554,1,1,1,1,1
344,2,1,1,1,1
412,1,1,1,1,1
543,1,1,1,1,1
342,3,3,3,3,3
44,3,2,2,3,3
320,1,1,1,1,1
34,3,1,1,1,1
142,2,2,2,2,3
459,1,1,1,1,1
488,3,3,3,3,3
310,1,1,2,1,1
428,1,1,1,1,1
114,1,1,2,1,2
378,2,2,2,2,2
154,1,2,1,1,1
272,1,1,1,1,1
148,2,2,2,2,2
410,1,1,1,1,1
284,1,1,1,1,1
341,2,2,2,2,1
384,1,1,1,1,1
198,2,2,3,3,2
48,3,3,3,2,3
338,2,2,2,2,2
132,2,3,3,2,1
544,3,3,3,3,1
526,1,1,1,3,1
593,1,1,1,1,1
355,2,2,2,1,1
264,1,1,1,3,3
572,3,1,3,3,1
449,1,3,1,1,1
317,1,1,1,1,1
31,3,3,3,1,3
232,2,3,3,2,2
207,2,2,2,2,2
290,1,1,1,1,1
374,1,1,1,1,1
545,1,1,1,1,1
608,3,1,1,1,1
179,1,2,2,2,1
376,1,1,1,2,1
336,2,2,2,2,1
636,3,3,3,3,3
424,1,1,1,1,1
385,1,1,1,1,1
377,2,1,1,2,1
483,1,1,1,3,1
541,1,1,1,1,1
561,1,1,1,1,1
411,1,1,1,1,1
391,1,1,1,1,1
250,1,1,1,1,1
353,2,1,2,2,1
303,2,2,1,1,1
192,2,2,3,2,2
538,1,1,1,1,1
88,3,2,3,3,3
327,1,1,1,1,3
318,1,1,1,3,3
234,2,2,1,1,2
466,1,1,1,1,1
366,1,1,1,1,1
340,1,1,1,1,1
205,2,3,3,3,3
386,3,1,1,1,1
268,1,1,3,1,1
308,1,1,1,1,1
230,2,3,1,2,2
1,1,1,1,1,1
155,2,2,2,1,2
447,1,1,1,1,1
143,2,2,2,1,2
161,1,3,3,3,2
592,1,1,1,1,1
577,3,1,1,1,1
436,1,1,1,1,1
